7	9	11	13	22	6	24	13	16	19	3	5	4	10	7	1	9	2	8	14	20	23	15	11	21	18	12	17
21	14	11	21	22	2	7	6	10	15	8	17	9	16	21	5	13	3	1	23	4	11	18	24	14	12	19	20
24	7	11	13	23	16	19	11	5	17	4	2	3	6	24	9	7	14	18	1	13	12	22	10	8	15	21	20
21	22	11	12	19	3	4	18	9	7	10	2	20	1	21	22	17	14	11	13	23	8	16	5	12	15	6	24
15	9	11	8	2	6	20	5	23	13	11	9	19	7	15	24	8	21	17	4	12	18	3	1	16	22	14	10
21	16	11	9	2	20	8	9	1	6	11	7	16	14	21	3	22	18	15	4	19	13	17	24	5	10	23	12
17	1	11	6	4	19	22	10	16	1	23	14	24	6	17	18	2	11	15	9	13	12	20	21	8	5	3	7
21	15	11	17	4	20	8	18	16	19	7	11	12	13	21	17	23	1	2	9	15	24	22	3	14	10	5	6
21	23	11	2	3	23	15	8	16	9	13	10	12	2	21	24	22	14	4	11	20	5	7	1	18	19	6	17
2	6	11	6	12	14	16	23	18	6	15	22	5	4	2	20	1	11	8	13	21	24	19	9	3	17	7	10
20	11	11	12	21	23	8	17	3	9	4	6	5	19	20	11	1	22	7	15	16	13	2	10	12	18	24	14
6	19	11	13	3	23	9	14	1	8	18	17	16	20	6	4	19	15	10	13	2	21	5	7	24	11	22	12
6	18	11	10	8	15	17	7	11	23	21	13	14	18	6	19	4	9	24	22	3	10	1	2	12	16	20	5
5	15	11	14	9	24	13	11	19	10	8	14	20	22	5	21	1	15	17	12	6	23	4	7	2	16	18	3
11	24	11	3	17	18	24	19	6	21	16	7	10	23	11	14	2	8	3	13	5	4	20	22	12	1	15	9
10	6	11	21	17	22	1	16	20	18	11	5	8	14	10	2	24	12	4	3	13	15	21	9	6	7	19	23
9	18	11	12	23	6	14	2	11	4	12	17	21	13	9	18	16	10	15	5	22	7	19	1	24	20	3	8
23	12	11	5	21	20	16	19	12	1	11	6	13	9	23	5	7	2	14	4	8	22	15	17	18	3	24	10
22	16	11	20	23	11	6	20	7	9	24	15	21	2	22	12	18	5	19	8	4	1	14	16	17	3	13	10
