subject 	task 	staircase 	trialNum 	stimulus 	monitorWidth 	monitorHeight 	stimHeight  	ISI 	SOA 	centralTask 	centralStream 	responseSpatialPos 	responseX 	responseY 	correctX 	correctY 	clickX 	clickY 	accuracy 	responsePosInStream 	correctPosInStream 	position0 	position1 	position2 	position3 	position4 	position5 	position6 	position7 	position8 	position9 	position10 	position11 	position12 	position13 	position14 	position15 	position16 	position17 	position18 	position19 	position20 	position21 	position22 	position23 	longFrames
charlieEndogenous	dot-jump	False	23	circle	1024	768	1.16079767166	70.6	94.12	True	QWAFSCVZJRBPI8KHDMYEXULN	14	1.50218272469	-5.60622225078	1.50218272469	-5.60622225078	1.3173078175	-5.53269283352	True	13	13	21	12	3	16	4	23	22	2	19	18	10	9	8	14	13	17	24	1	20	11	7	15	6	5	0
charlieEndogenous	dot-jump	False	24	circle	1024	768	1.16079767166	70.6	94.12	True	MZHIEWDB2ALJRUNYFQTKVXCP	12	-1.50218272469	-5.60622225078	5.02640136157	2.90199417916	-1.58076938101	-5.60796756595	False	2	8	5	9	12	20	14	24	18	4	21	1	11	13	10	7	15	16	23	22	17	2	3	6	8	19	0
charlieEndogenous	dot-jump	False	25	circle	1024	768	1.16079767166	70.6	94.12	True	DIEYUSZFV6CAJPBNQLTHKWXR	24	1.50218272469	5.60622225078	-1.50218272469	-5.60622225078	1.76895621208	5.30686863623	False	23	9	7	17	4	13	20	15	22	11	18	12	1	16	9	14	10	6	3	2	8	21	23	19	5	24	0
charlieEndogenous	dot-jump	False	26	circle	1024	768	1.16079767166	70.6	94.12	True	MXWKPCTEDUINRA3QVZHBLFSY	14	1.50218272469	-5.60622225078	-1.50218272469	-5.60622225078	1.50549464858	-5.60796756595	False	17	14	17	15	2	8	6	22	18	24	1	16	10	11	23	20	12	19	5	14	21	3	7	9	13	4	0
charlieEndogenous	dot-jump	False	27	circle	1024	768	1.16079767166	70.6	94.12	True	TEWXCDNSLHIMBPZJ4FUYRKAV	13	0.0	-5.80398835832	2.90199417916	5.02640136157	-0.225824197287	-5.45741810109	False	18	16	11	6	8	14	1	16	15	24	18	12	22	7	3	17	9	5	23	20	13	2	4	19	21	10	0
charlieEndogenous	dot-jump	False	28	circle	1024	768	1.16079767166	70.6	94.12	True	SZAFQMKYLIWJHC7XUDBNEPTR	16	4.10403952609	-4.10403952609	5.02640136157	-2.90199417916	3.6508245228	-4.02719818494	False	13	14	3	20	6	13	4	11	1	7	5	22	23	2	15	16	17	14	24	9	18	10	19	8	21	12	0
charlieEndogenous	dot-jump	False	29	circle	1024	768	1.16079767166	70.6	94.12	True	LEIRTHQDXSWCF8MUYPBAJZNK	12	-1.50218272469	-5.60622225078	5.02640136157	2.90199417916	-1.54313201479	-5.30686863623	False	16	13	7	9	23	13	22	10	20	8	2	15	11	14	1	21	4	16	12	19	3	24	6	18	17	5	0
charlieEndogenous	dot-jump	False	30	circle	1024	768	1.16079767166	70.6	94.12	True	URYEAQJZTD8XLSCHNFWPVMBI	21	5.02640136157	2.90199417916	5.60622225078	-1.50218272469	5.04340707273	3.23681349444	False	2	10	22	17	21	10	8	1	24	11	19	14	18	23	9	20	16	4	6	12	13	2	5	3	7	15	0
charlieEndogenous	dot-jump	False	31	circle	1024	768	1.16079767166	70.6	94.12	True	SUVTFZLXRCJ6DMQWKEPNBHIA	24	1.50218272469	5.60622225078	-5.60622225078	1.50218272469	1.3173078175	5.34450600245	False	10	11	18	23	22	14	12	17	19	3	7	21	24	6	1	15	4	2	9	10	20	13	11	16	5	8	0
charlieEndogenous	dot-jump	False	32	circle	1024	768	1.16079767166	70.6	94.12	True	NPRBKZWDHUQAIJL5FCMYETSX	8	-5.60622225078	-1.50218272469	2.90199417916	-5.02640136157	-5.41978073488	-1.50549464858	False	11	15	2	17	18	6	3	21	11	7	16	19	4	8	13	14	22	15	20	1	10	12	23	24	9	5	0
