1	23	11	13	10	21	15	13	2	20	18	3	22	5	1	16	23	9	7	6	8	11	24	4	19	17	14	12
1	1	11	11	8	7	23	17	10	2	13	11	19	21	1	4	6	5	16	14	20	18	3	12	24	22	9	15
14	4	11	10	10	19	3	20	13	5	18	8	7	4	14	16	15	6	2	22	11	9	23	12	1	17	21	24
18	2	11	12	20	1	15	8	7	24	19	13	9	4	18	2	16	21	6	5	10	17	11	3	14	12	22	23
14	21	11	10	6	23	8	2	15	1	24	7	13	21	14	17	19	16	4	5	18	22	10	9	3	11	12	20
11	23	11	23	12	3	6	1	15	24	13	7	5	20	11	14	2	17	21	8	18	16	4	9	22	19	23	10
4	4	11	11	16	11	2	20	5	24	3	10	12	17	4	13	9	23	19	6	22	18	7	21	1	14	15	8
5	5	11	11	12	11	10	23	1	6	14	16	3	2	5	21	17	20	7	15	18	13	24	4	8	19	22	9
13	21	11	12	11	10	22	16	17	20	9	15	1	5	13	21	6	24	8	7	12	19	14	3	18	4	23	2
17	2	11	12	16	21	12	6	7	4	14	20	22	1	17	2	11	13	10	24	19	3	5	9	15	23	8	18
8	5	11	8	23	24	7	17	3	15	10	5	1	4	8	12	14	18	11	20	22	13	21	16	9	2	6	19
14	20	11	22	18	3	8	16	9	6	10	19	7	21	14	15	24	4	2	17	23	1	13	11	5	20	12	22
20	3	11	8	9	10	17	7	6	14	24	3	1	5	20	2	22	13	12	4	18	19	11	21	8	15	16	23
17	22	11	17	1	23	20	3	21	6	13	15	19	24	17	16	12	9	4	18	22	7	11	8	5	14	2	10
2	2	11	11	9	14	20	13	12	4	19	6	1	22	2	16	24	5	23	11	8	15	3	18	17	10	7	21
13	11	11	8	24	18	15	16	3	20	6	11	7	17	13	23	10	19	14	2	9	4	12	5	22	1	8	21
17	24	11	4	10	11	13	24	20	16	1	9	8	15	17	12	14	22	21	23	7	2	6	19	4	3	18	5
23	3	11	18	7	1	20	24	12	14	8	17	21	2	23	4	16	6	15	13	19	3	9	10	11	18	5	22
24	23	11	4	21	15	16	23	13	17	9	1	14	18	24	7	5	12	11	6	8	22	19	4	10	2	20	3
22	3	11	13	15	6	13	16	20	11	8	7	17	5	22	2	3	23	19	18	14	9	4	10	24	12	21	1
1	1	11	11	16	5	24	7	6	18	10	11	4	12	1	13	8	20	14	3	2	23	9	19	17	15	22	21
11	2	11	4	20	10	7	2	9	19	3	18	14	17	11	1	21	16	8	12	23	22	6	24	13	4	5	15
16	5	11	12	6	14	7	2	12	24	22	10	4	8	16	5	23	19	17	13	1	3	21	11	15	9	18	20
4	3	11	13	13	24	6	20	21	16	14	11	19	23	4	7	3	2	18	22	10	17	5	1	12	8	9	15
24	22	11	3	23	14	22	20	9	7	3	2	4	1	24	6	12	16	13	19	8	18	17	10	5	21	15	11
7	6	11	16	1	21	17	10	13	18	19	11	4	16	7	5	22	8	3	6	2	24	15	12	14	20	23	9
4	4	11	11	16	23	5	9	18	20	3	8	21	11	4	2	10	6	22	7	1	24	17	12	15	19	13	14
23	23	11	11	1	21	17	13	4	5	14	20	16	10	23	12	2	3	6	18	7	19	24	9	11	15	8	22
8	10	11	23	23	15	1	2	18	14	24	17	22	12	8	6	9	7	16	4	3	20	19	21	11	13	10	5
24	24	11	11	4	13	11	1	3	15	21	10	2	20	24	8	14	7	5	16	6	17	23	9	12	19	22	18
13	12	11	4	24	3	19	12	6	4	10	18	9	11	13	5	20	21	2	7	1	15	17	8	22	16	14	23
4	10	11	18	23	24	21	14	12	6	8	3	17	11	4	18	1	9	15	5	22	10	19	16	7	13	2	20
23	22	11	19	3	19	9	12	24	16	7	4	8	10	23	21	13	18	15	5	11	6	22	1	14	2	20	17
19	21	11	15	16	10	22	5	17	24	13	15	6	9	19	20	18	7	21	3	8	1	4	11	23	2	12	14
23	23	11	11	6	22	8	18	24	19	4	15	10	11	23	17	5	13	7	16	12	9	20	1	14	2	21	3
