subject 	task 	staircase 	trialNum 	stimulus 	monitorWidth 	monitorHeight 	stimHeight  	ISI 	SOA 	responseSpatialPos 	responseX 	responseY 	correctX 	correctY 	clickX 	clickY 	accuracy 	responsePosInStream 	correctPosInStream 	position0 	position1 	position2 	position3 	position4 	position5 	position6 	position7 	position8 	position9 	position10 	position11 	position12 	position13 	position14 	position15 	position16 	position17 	position18 	position19 	position20 	position21 	position22 	position23 	longFrames
KR 	 dot-jump 	 False 	 0 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 11 	 -2.90199417916 	 -5.02640136157 	 -5.80398835832 	 0.0 	 -2.89807719851 	 -5.15631917138 	 False 	 22 	 10 	17 	19 	20 	21 	23 	8 	4 	24 	15 	12 	7 	3 	10 	18 	5 	2 	16 	6 	1 	14 	22 	13 	11 	9 	0
KR 	 dot-jump 	 False 	 1 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 24 	 1.50218272469 	 5.60622225078 	 5.60622225078 	 -1.50218272469 	 1.54313201479 	 5.08104443895 	 False 	 17 	 10 	9 	23 	21 	6 	8 	22 	14 	10 	1 	4 	18 	3 	12 	2 	20 	16 	7 	24 	17 	15 	19 	5 	11 	13 	0
KR 	 dot-jump 	 False 	 2 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 9 	 -5.02640136157 	 -2.90199417916 	 -2.90199417916 	 -5.02640136157 	 -4.9681323403 	 -2.78516509987 	 False 	 21 	 10 	10 	6 	3 	13 	16 	2 	14 	24 	20 	7 	11 	8 	12 	4 	1 	19 	5 	23 	21 	15 	18 	9 	22 	17 	0
KR 	 dot-jump 	 False 	 3 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 24 	 1.50218272469 	 5.60622225078 	 5.02640136157 	 2.90199417916 	 1.43021991615 	 5.34450600245 	 False 	 9 	 10 	13 	16 	12 	2 	17 	7 	3 	14 	15 	24 	21 	5 	20 	1 	6 	19 	8 	11 	9 	23 	18 	22 	10 	4 	0
KR 	 dot-jump 	 False 	 4 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 21 	 5.02640136157 	 2.90199417916 	 2.90199417916 	 5.02640136157 	 4.85522024166 	 2.70989036744 	 False 	 8 	 10 	1 	10 	12 	4 	7 	22 	8 	14 	21 	16 	23 	13 	19 	11 	9 	3 	6 	20 	18 	2 	5 	24 	17 	15 	0
KR 	 dot-jump 	 False 	 5 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 15 	 2.90199417916 	 -5.02640136157 	 0.0 	 -5.80398835832 	 2.44642880394 	 -5.41978073488 	 False 	 13 	 10 	11 	10 	7 	1 	8 	9 	17 	5 	18 	14 	13 	16 	23 	15 	12 	19 	21 	4 	6 	3 	2 	24 	22 	20 	0
KR 	 dot-jump 	 False 	 6 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 24 	 1.50218272469 	 5.60622225078 	 -2.90199417916 	 -5.02640136157 	 1.76895621208 	 5.19395653759 	 False 	 12 	 10 	21 	14 	19 	9 	2 	22 	3 	6 	18 	4 	11 	17 	24 	12 	16 	8 	10 	15 	1 	13 	23 	20 	7 	5 	0
KR 	 dot-jump 	 False 	 7 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 5.60622225078 	 1.50218272469 	 4.36593448087 	 3.9142860863 	 False 	 16 	 10 	15 	14 	3 	1 	8 	16 	2 	7 	9 	12 	20 	11 	23 	13 	18 	4 	22 	6 	19 	21 	5 	24 	10 	17 	0
KR 	 dot-jump 	 False 	 8 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 3 	 -2.90199417916 	 5.02640136157 	 -4.10403952609 	 4.10403952609 	 -2.74752773365 	 4.47884657952 	 False 	 16 	 10 	11 	7 	6 	21 	20 	9 	22 	16 	2 	17 	4 	15 	19 	14 	23 	5 	3 	13 	18 	12 	1 	10 	24 	8 	0
KR 	 dot-jump 	 False 	 9 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 24 	 1.50218272469 	 5.60622225078 	 4.10403952609 	 -4.10403952609 	 1.58076938101 	 5.30686863623 	 False 	 1 	 10 	22 	24 	15 	18 	6 	3 	7 	4 	1 	9 	16 	11 	17 	10 	12 	14 	23 	5 	19 	2 	20 	13 	21 	8 	0
