subject 	task 	staircase 	trialNum 	stimulus 	monitorWidth 	monitorHeight 	stimHeight  	ISI 	SOA 	responseSpatialPos 	responseX 	responseY 	correctX 	correctY 	clickX 	clickY 	accuracy 	responsePosInStream 	correctPosInStream 	position0 	position1 	position2 	position3 	position4 	position5 	position6 	position7 	position8 	position9 	position10 	position11 	position12 	position13 	position14 	position15 	position16 	position17 	position18 	position19 	position20 	position21 	position22 	position23 	longFrames
KRLetter 	 dot-jump 	 False 	 0 	 D 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 15 	 2.90199417916 	 -5.02640136157 	 -2.90199417916 	 5.02640136157 	 3.08626402958 	 -5.00576970652 	 False 	 16 	 10 	22 	20 	4 	10 	1 	9 	16 	23 	12 	18 	3 	2 	17 	6 	5 	21 	15 	13 	19 	14 	8 	24 	7 	11 	0
KRLetter 	 dot-jump 	 False 	 1 	 D 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 1.50218272469 	 5.60622225078 	 4.21538501602 	 3.95192345251 	 False 	 8 	 10 	18 	8 	20 	6 	7 	5 	9 	13 	22 	23 	24 	19 	15 	10 	3 	16 	14 	4 	21 	1 	17 	2 	11 	12 	0
KRLetter 	 dot-jump 	 False 	 2 	 D 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 9 	 -5.02640136157 	 -2.90199417916 	 1.50218272469 	 5.60622225078 	 -5.04340707273 	 -3.04862666337 	 False 	 14 	 10 	16 	20 	15 	13 	2 	10 	12 	6 	21 	18 	24 	22 	8 	7 	9 	19 	14 	11 	3 	4 	23 	1 	17 	5 	0
KRLetter 	 dot-jump 	 False 	 3 	 D 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 16 	 4.10403952609 	 -4.10403952609 	 5.02640136157 	 -2.90199417916 	 4.32829711466 	 -3.87664872009 	 False 	 4 	 10 	22 	21 	9 	14 	16 	15 	24 	6 	2 	18 	17 	5 	20 	23 	10 	1 	3 	12 	8 	7 	4 	13 	11 	19 	0
KRLetter 	 dot-jump 	 False 	 4 	 D 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 4 	 -4.10403952609 	 4.10403952609 	 -4.10403952609 	 4.10403952609 	 -3.83901135387 	 4.06483555116 	 True 	 10 	 10 	22 	6 	3 	19 	24 	1 	20 	23 	8 	13 	4 	18 	21 	12 	10 	11 	17 	2 	14 	5 	16 	15 	9 	7 	0
KRLetter 	 dot-jump 	 False 	 5 	 D 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 5 	 -5.02640136157 	 2.90199417916 	 -4.10403952609 	 4.10403952609 	 -4.9681323403 	 2.82280246608 	 False 	 16 	 10 	10 	24 	7 	8 	22 	18 	15 	16 	17 	19 	4 	13 	20 	14 	23 	12 	5 	1 	11 	3 	6 	21 	2 	9 	0
KRLetter 	 dot-jump 	 False 	 6 	 D 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 10 	 -4.10403952609 	 -4.10403952609 	 -5.60622225078 	 -1.50218272469 	 -4.32829711466 	 -3.98956081873 	 False 	 16 	 10 	16 	1 	19 	21 	2 	6 	9 	22 	3 	7 	8 	13 	4 	14 	15 	17 	10 	11 	18 	5 	24 	23 	12 	20 	0
KRLetter 	 dot-jump 	 False 	 7 	 D 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 11 	 -2.90199417916 	 -5.02640136157 	 -5.02640136157 	 -2.90199417916 	 -2.97335193094 	 -4.81758287545 	 False 	 14 	 10 	16 	20 	2 	7 	24 	5 	3 	23 	12 	14 	9 	19 	4 	6 	11 	10 	21 	18 	1 	15 	13 	22 	17 	8 	0
KRLetter 	 dot-jump 	 False 	 8 	 D 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 13 	 0.0 	 -5.80398835832 	 -4.10403952609 	 4.10403952609 	 0.0376373662144 	 -5.87142912945 	 False 	 4 	 10 	6 	9 	19 	21 	13 	3 	15 	5 	14 	18 	4 	2 	12 	20 	17 	8 	10 	24 	16 	7 	22 	1 	11 	23 	0
KRLetter 	 dot-jump 	 False 	 9 	 D 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 8 	 -5.60622225078 	 -1.50218272469 	 -5.02640136157 	 -2.90199417916 	 -5.57033019973 	 -1.61840674722 	 False 	 14 	 10 	2 	15 	17 	23 	22 	10 	24 	11 	16 	21 	9 	6 	20 	18 	8 	14 	12 	7 	13 	1 	5 	19 	3 	4 	0
