subject 	task 	staircase 	trialNum 	responseSpatialPos 	responseX 	responseY 	correctX 	correctY 	clickX 	clickY 	accuracy 	responsePosInStream 	correctPosInStream 	position0 	position1 	position2 	position3 	position4 	position5 	position6 	position7 	position8 	position9 	position10 	position11 	position12 	position13 	position14 	position15 	position16 	position17 	position18 	position19 	position20 	position21 	position22 	position23 	longFrames
charlieCircleCue 	 dot-jump 	 False 	 0 	 22 	 2.82842712475 	 2.82842712475 	 2.82842712475 	 2.82842712475 	 2.96623134814 	 2.7684825916 	 True 	 10 	 10 	11 	20 	16 	14 	15 	17 	12 	19 	1 	24 	22 	13 	3 	6 	21 	18 	2 	5 	9 	4 	10 	7 	8 	23 	0
charlieCircleCue 	 dot-jump 	 False 	 1 	 10 	 -2.82842712475 	 -2.82842712475 	 -2.0 	 -3.46410161514 	 -2.70256633942 	 -2.7684825916 	 False 	 11 	 10 	3 	18 	13 	17 	8 	9 	1 	24 	12 	2 	11 	10 	4 	15 	20 	5 	16 	6 	23 	21 	7 	22 	14 	19 	0
charlieCircleCue 	 dot-jump 	 False 	 2 	 11 	 -2.0 	 -3.46410161514 	 -2.0 	 -3.46410161514 	 -1.94452943934 	 -3.52651949168 	 True 	 10 	 10 	9 	2 	3 	22 	12 	20 	10 	13 	5 	16 	11 	21 	4 	23 	1 	7 	17 	18 	6 	24 	8 	19 	15 	14 	0
charlieCircleCue 	 dot-jump 	 False 	 3 	 16 	 2.82842712475 	 -2.82842712475 	 -2.82842712475 	 -2.82842712475 	 2.99918947423 	 -2.90031509596 	 False 	 8 	 10 	6 	2 	7 	9 	24 	23 	12 	11 	16 	5 	10 	15 	21 	3 	1 	18 	4 	19 	14 	22 	8 	13 	20 	17 	0
charlieCircleCue 	 dot-jump 	 False 	 4 	 4 	 -2.82842712475 	 2.82842712475 	 3.46410161514 	 2.0 	 -2.63665008724 	 2.93327322205 	 False 	 20 	 10 	24 	23 	14 	7 	12 	2 	18 	9 	20 	16 	21 	5 	17 	3 	11 	1 	15 	6 	19 	13 	4 	22 	8 	10 	0
charlieCircleCue 	 dot-jump 	 False 	 5 	 12 	 -1.03527618041 	 -3.86370330516 	 -2.0 	 -3.46410161514 	 -1.08761816099 	 -3.85610075258 	 False 	 21 	 10 	2 	16 	20 	22 	23 	13 	4 	17 	19 	14 	11 	8 	3 	24 	7 	1 	10 	21 	5 	9 	18 	12 	6 	15 	0
charlieCircleCue 	 dot-jump 	 False 	 6 	 9 	 -3.46410161514 	 -2.0 	 2.82842712475 	 2.82842712475 	 -3.42764511341 	 -2.0763619437 	 False 	 12 	 10 	24 	14 	10 	11 	12 	8 	16 	19 	13 	2 	22 	4 	9 	3 	21 	17 	15 	1 	5 	18 	6 	7 	23 	20 	0
charlieCircleCue 	 dot-jump 	 False 	 7 	 23 	 2.0 	 3.46410161514 	 -3.86370330516 	 1.03527618041 	 2.10932006979 	 3.39468698732 	 False 	 11 	 10 	7 	15 	4 	20 	2 	24 	16 	18 	21 	19 	6 	23 	11 	5 	8 	9 	14 	13 	17 	22 	12 	3 	10 	1 	0
charlieCircleCue 	 dot-jump 	 False 	 8 	 11 	 -2.0 	 -3.46410161514 	 -2.0 	 -3.46410161514 	 -1.91157131325 	 -3.59243574386 	 True 	 10 	 10 	24 	4 	10 	19 	1 	18 	7 	5 	9 	13 	11 	15 	3 	20 	21 	12 	14 	2 	8 	17 	23 	22 	6 	16 	0
charlieCircleCue 	 dot-jump 	 False 	 9 	 14 	 1.03527618041 	 -3.86370330516 	 1.03527618041 	 -3.86370330516 	 1.05466003489 	 -3.88905887868 	 True 	 10 	 10 	2 	12 	23 	6 	13 	9 	21 	18 	20 	19 	14 	5 	7 	22 	17 	24 	8 	1 	15 	4 	16 	10 	3 	11 	0
