subject 	task 	staircase 	trialNum 	responseSpatialPos 	responseX 	responseY 	correctX 	correctY 	clickX 	clickY 	accuracy 	responsePosInStream 	correctPosInStream 	position0 	position1 	position2 	position3 	position4 	position5 	position6 	position7 	position8 	position9 	position10 	position11 	position12 	position13 	position14 	position15 	position16 	position17 	position18 	position19 	position20 	position21 	position22 	position23 	longFrames
charlieCir 	 dot-jump 	 False 	0	6	-3.863703305	1.03527618	-2	3.464101615	-3.856100753	0.889869404	 False 	16	10	18	7	15	21	23	24	10	13	4	17	3	14	2	19	5	1	6	20	16	9	22	12	8	11	2
charlieCir 	 dot-jump 	 False 	1	11	-2	-3.464101615	-1.03527618	-3.863703305	-2.10932007	-3.592435744	 False 	11	10	7	20	24	9	2	3	22	23	5	10	12	11	4	19	14	1	21	6	18	17	13	8	16	15	0
charlieCir 	 dot-jump 	 False 	2	12	-1.03527618	-3.863703305	-1.03527618	-3.863703305	-1.153534413	-3.856100753	 True 	10	10	21	11	15	1	24	13	2	16	22	17	12	5	7	3	23	19	18	14	10	4	20	6	8	9	0
charlieCir 	 dot-jump 	 False 	3	19	4	0	4	0	3.954975131	-0.098874378	 True 	10	10	4	8	18	12	16	3	7	15	22	20	19	10	17	9	5	23	11	2	13	1	24	6	14	21	0
charlieCir 	 dot-jump 	 False 	4	12	-1.03527618	-3.863703305	0	-4	-1.021701909	-3.856100753	 False 	6	10	21	4	9	7	17	1	12	5	11	24	13	8	3	23	22	2	6	19	15	10	16	14	18	20	0
charlieCir 	 dot-jump 	 False 	5	20	3.863703305	1.03527618	4	0	3.889058879	1.054660035	 False 	11	10	21	23	16	13	2	5	14	4	10	24	19	20	15	1	18	3	22	8	12	9	11	6	7	17	0
charlieCir 	 dot-jump 	 False 	6	22	2.828427125	2.828427125	-1.03527618	3.863703305	2.86735697	2.768482592	 False 	11	10	19	7	14	20	17	13	21	16	5	12	2	22	3	6	4	9	23	18	15	10	11	8	24	1	0
charlieCir 	 dot-jump 	 False 	7	9	-3.464101615	-2	2.828427125	2.828427125	-3.559477618	-2.076361944	 False 	5	10	13	15	2	18	1	9	19	5	21	24	22	20	10	6	16	14	3	11	23	17	12	8	4	7	0
charlieCir 	 dot-jump 	 False 	8	6	-3.863703305	1.03527618	0	4	-3.7901845	0.856911278	 False 	11	10	5	15	14	12	9	19	4	11	21	7	1	6	17	13	24	8	22	10	2	18	20	16	3	23	0
charlieCir 	 dot-jump 	 False 	9	17	3.464101615	-2	2	-3.464101615	3.592435744	-2.142278196	 False 	17	10	2	21	13	6	23	9	19	7	16	10	15	20	14	18	24	12	22	17	3	5	4	1	8	11	0
charlieCir 	 dot-jump 	 False 	10	6	-3.863703305	1.03527618	-4	0	-3.7901845	0.988743783	 False 	18	10	14	10	20	19	13	8	4	11	3	16	7	5	9	17	18	15	21	1	6	2	12	24	22	23	0
charlieCir 	 dot-jump 	 False 	11	11	-2	-3.464101615	-2	3.464101615	-1.812696935	-3.427645113	 False 	14	10	17	2	23	13	22	19	10	14	15	4	3	12	8	7	11	18	9	16	20	5	6	21	24	1	0
charlieCir 	 dot-jump 	 False 	12	1	0	4	-1.03527618	3.863703305	-0.065916252	3.856100753	 False 	23	10	14	4	9	6	24	10	5	19	22	3	2	18	17	8	13	15	21	16	20	7	12	23	11	1	0
charlieCir 	 dot-jump 	 False 	13	10	-2.828427125	-2.828427125	-3.464101615	-2	-2.603691961	-2.900315096	 False 	3	10	16	4	18	10	13	12	15	19	22	14	9	3	20	24	11	2	17	7	5	6	23	8	1	21	0
charlieCir 	 dot-jump 	 False 	14	6	-3.863703305	1.03527618	-3.863703305	1.03527618	-3.7901845	0.988743783	 True 	10	10	23	14	5	8	20	21	22	3	19	9	6	11	13	2	10	15	7	4	24	12	1	16	18	17	0
charlieCir 	 dot-jump 	 False 	15	16	2.828427125	-2.828427125	-2	3.464101615	2.834398844	-2.834398844	 False 	11	10	6	8	20	9	23	10	11	15	24	17	3	16	1	4	5	19	21	22	18	14	7	13	2	12	0
charlieCir 	 dot-jump 	 False 	16	5	-3.464101615	2	-3.464101615	2	-3.361728861	1.944529439	 True 	10	10	6	20	22	4	16	11	18	12	17	8	5	23	15	19	14	24	21	9	13	10	3	1	7	2	0
charlieCir 	 dot-jump 	 False 	17	5	-3.464101615	2	-3.863703305	1.03527618	-3.394686987	1.944529439	 False 	0	10	5	9	19	20	23	8	11	2	1	24	6	15	10	13	4	14	21	18	17	22	7	3	12	16	0
charlieCir 	 dot-jump 	 False 	18	19	4	0	3.863703305	1.03527618	3.922017005	-0.065916252	 False 	22	10	10	11	15	14	24	18	2	5	13	22	20	8	3	16	17	7	23	21	4	1	6	9	19	12	0
charlieCir 	 dot-jump 	 False 	19	18	3.863703305	-1.03527618	-2.828427125	-2.828427125	3.757226374	-1.087618161	 False 	11	10	9	6	20	3	8	24	16	13	23	21	10	18	7	11	22	12	2	5	1	15	14	4	19	17	0
charlieCir 	 dot-jump 	 False 	20	1	0	4	-1.03527618	-3.863703305	-0.098874378	3.954975131	 False 	11	10	2	19	10	20	18	3	4	22	5	14	12	1	7	16	13	11	15	6	23	9	17	21	8	24	0
charlieCir 	 dot-jump 	 False 	21	6	-3.863703305	1.03527618	-3.863703305	1.03527618	-3.922017005	0.922827531	 True 	10	10	2	15	18	16	19	14	20	13	9	10	6	8	11	4	23	1	3	5	7	24	17	21	22	12	0
charlieCir 	 dot-jump 	 False 	22	21	3.464101615	2	4	0	3.493561366	2.076361944	 False 	11	10	10	13	9	11	2	1	8	23	20	22	19	21	17	7	16	12	3	14	24	6	18	15	5	4	0
charlieCir 	 dot-jump 	 False 	23	15	2	-3.464101615	3.863703305	-1.03527618	2.076361944	-3.526519492	 False 	11	10	7	5	11	2	8	3	6	20	10	16	18	15	1	22	4	14	17	24	13	23	12	21	9	19	0
charlieCir 	 dot-jump 	 False 	24	3	-2	3.464101615	-2.828427125	2.828427125	-2.010445692	3.328770735	 False 	11	10	22	21	23	18	6	17	19	12	16	10	4	3	14	13	15	5	8	1	9	7	20	24	11	2	0
charlieCir 	 dot-jump 	 False 	25	7	-4	0	2	3.464101615	-3.987933257	-0.098874378	 False 	18	10	19	16	17	12	10	4	11	21	3	18	23	6	20	15	22	24	1	2	7	8	5	9	13	14	0
charlieCir 	 dot-jump 	 False 	26	19	4	0	3.863703305	1.03527618	3.922017005	0.065916252	 False 	3	10	11	6	21	19	2	12	24	14	1	9	20	5	7	3	8	17	22	16	13	18	23	4	15	10	0
charlieCir 	 dot-jump 	 False 	27	15	2	-3.464101615	2	-3.464101615	2.010445692	-3.394686987	 True 	10	10	3	18	21	9	22	6	4	1	13	17	15	16	24	7	10	19	20	14	8	12	11	2	5	23	0
charlieCir 	 dot-jump 	 False 	28	10	-2.828427125	-2.828427125	-3.863703305	-1.03527618	-2.735524466	-3.065105726	 False 	18	10	4	18	22	9	5	14	19	1	7	6	8	11	21	16	15	17	24	13	10	20	2	12	23	3	0
charlieCir 	 dot-jump 	 False 	29	16	2.828427125	-2.828427125	2.828427125	-2.828427125	2.86735697	-2.933273222	 True 	10	10	22	3	12	15	6	17	1	4	5	14	16	19	2	13	21	8	10	18	20	9	11	7	24	23	0
charlieCir 	 dot-jump 	 False 	30	24	1.03527618	3.863703305	-2.828427125	-2.828427125	1.054660035	3.757226374	 False 	11	10	18	6	8	20	13	16	17	1	2	22	10	24	12	3	21	23	15	19	4	5	7	11	9	14	0
charlieCir 	 dot-jump 	 False 	31	20	3.863703305	1.03527618	2.828427125	2.828427125	3.823142626	1.054660035	 False 	12	10	10	4	11	12	15	6	3	23	14	13	22	21	20	7	9	18	17	19	16	8	24	2	1	5	0
