subject 	task 	staircase 	trialNum 	responseSpatialPos 	responseX 	responseY 	correctX 	correctY 	clickX 	clickY 	accuracy 	responsePosInStream 	correctPosInStream 	position0 	position1 	position2 	position3 	position4 	position5 	position6 	position7 	position8 	position9 	position10 	position11 	position12 	position13 	position14 	position15 	position16 	position17 	position18 	position19 	position20 	position21 	position22 	position23 	longFrames
charlieCir 	 dot-jump 	 False 	32	19	4	0	-4	0	3.922017005	-0.032958126	 False 	11	10	12	8	9	11	22	24	14	20	16	15	7	19	6	13	4	21	3	1	5	10	17	18	23	2	0
charlieCir 	 dot-jump 	 False 	33	16	2.828427125	-2.828427125	3.464101615	-2	2.834398844	-2.900315096	 False 	11	10	15	21	5	4	12	19	18	8	9	23	17	16	24	20	1	13	7	11	2	14	3	22	6	10	0
charlieCir 	 dot-jump 	 False 	34	23	2	3.464101615	2.828427125	2.828427125	1.878613187	3.394686987	 False 	9	10	18	2	11	17	5	7	20	10	4	23	22	24	13	15	21	12	19	14	3	16	9	6	8	1	0
charlieCir 	 dot-jump 	 False 	35	16	2.828427125	-2.828427125	-2	-3.464101615	2.801440718	-2.966231348	 False 	11	10	5	8	23	15	10	12	21	24	17	9	11	16	6	14	4	22	7	2	19	18	13	3	20	1	0
charlieCir 	 dot-jump 	 False 	36	15	2	-3.464101615	2.828427125	-2.828427125	2.043403818	-3.757226374	 False 	11	10	17	14	5	12	11	18	10	7	9	1	16	15	3	21	22	20	8	2	13	23	4	19	24	6	0
charlieCir 	 dot-jump 	 False 	37	23	2	3.464101615	-4	0	2.043403818	3.394686987	 False 	17	10	12	15	5	3	8	20	11	16	13	17	7	24	4	21	10	18	19	23	6	9	1	22	2	14	0
charlieCir 	 dot-jump 	 False 	38	24	1.03527618	3.863703305	0	4	0.988743783	3.757226374	 False 	5	10	12	10	3	7	14	24	22	11	13	20	1	17	18	9	15	21	8	4	19	5	16	23	2	6	0
charlieCir 	 dot-jump 	 False 	39	10	-2.828427125	-2.828427125	-2.828427125	-2.828427125	-2.86735697	-3.0321476	 True 	10	10	3	2	8	23	14	19	7	18	15	22	10	1	5	12	9	21	17	24	20	11	6	13	16	4	0
charlieCir 	 dot-jump 	 False 	40	20	3.863703305	1.03527618	2	-3.464101615	3.889058879	0.823953152	 False 	11	10	1	18	22	12	8	7	17	23	14	21	15	20	4	9	6	24	19	3	11	10	2	16	13	5	0
charlieCir 	 dot-jump 	 False 	41	21	3.464101615	2	3.464101615	2	3.394686987	1.878613187	 True 	10	10	22	20	7	14	2	3	12	4	19	5	21	24	9	13	15	18	11	1	23	17	8	10	16	6	0
charlieCir 	 dot-jump 	 False 	42	9	-3.464101615	-2	-3.863703305	-1.03527618	-3.229896357	-1.911571313	 False 	13	10	10	18	19	5	11	7	3	22	20	17	8	23	16	9	1	14	2	4	6	12	24	21	15	13	0
charlieCir 	 dot-jump 	 False 	43	20	3.863703305	1.03527618	-3.464101615	-2	4.020891383	1.054660035	 False 	9	10	17	12	4	23	24	19	21	10	14	20	9	13	6	11	8	5	16	15	1	7	22	18	2	3	0
charlieCir 	 dot-jump 	 False 	44	6	-3.863703305	1.03527618	-1.03527618	-3.863703305	-3.823142626	0.955785657	 False 	11	10	2	17	3	16	1	8	7	14	23	18	12	6	20	22	19	9	5	21	15	11	10	13	4	24	0
charlieCir 	 dot-jump 	 False 	45	12	-1.03527618	-3.863703305	3.464101615	2	-0.955785657	-3.889058879	 False 	21	10	24	18	5	22	3	11	6	19	17	8	21	13	20	2	4	9	23	15	14	16	7	12	1	10	0
charlieCir 	 dot-jump 	 False 	46	15	2	-3.464101615	2.828427125	-2.828427125	1.977487565	-3.62539387	 False 	0	10	15	8	3	9	10	4	6	17	13	7	16	18	14	21	19	1	5	22	20	12	23	24	2	11	0
charlieCir 	 dot-jump 	 False 	47	1	0	4	-2.828427125	-2.828427125	0	3.856100753	 False 	11	10	7	22	11	21	13	18	9	16	8	3	10	1	24	6	4	2	17	14	5	15	12	23	20	19	0
charlieCir 	 dot-jump 	 False 	48	6	-3.863703305	1.03527618	2	3.464101615	-3.757226374	0.922827531	 False 	12	10	8	22	16	3	20	24	17	2	18	7	23	9	6	11	19	15	13	14	10	1	4	12	5	21	0
charlieCir 	 dot-jump 	 False 	49	5	-3.464101615	2	3.464101615	-2	-3.361728861	1.878613187	 False 	11	10	12	9	3	13	15	4	6	24	16	7	17	5	19	21	1	22	10	23	2	8	14	18	11	20	0
charlieCir 	 dot-jump 	 False 	50	10	-2.828427125	-2.828427125	-2.828427125	-2.828427125	-2.999189474	-2.900315096	 True 	10	10	14	21	18	11	1	23	19	6	20	2	10	5	9	22	3	17	16	24	8	7	13	15	4	12	0
charlieCir 	 dot-jump 	 False 	51	11	-2	-3.464101615	-1.03527618	-3.863703305	-2.142278196	-3.559477618	 False 	13	10	4	21	20	2	16	3	14	24	15	18	12	19	7	11	9	22	10	8	1	23	5	6	17	13	0
charlieCir 	 dot-jump 	 False 	52	3	-2	3.464101615	0	-4	-1.911571313	3.493561366	 False 	21	10	7	11	14	1	10	5	24	6	23	20	13	4	22	12	16	15	9	17	21	18	19	3	8	2	0
charlieCir 	 dot-jump 	 False 	53	11	-2	-3.464101615	3.863703305	-1.03527618	-1.812696935	-3.46060324	 False 	2	10	3	5	11	8	21	1	24	7	10	2	18	16	13	17	14	15	22	19	12	9	6	20	4	23	0
charlieCir 	 dot-jump 	 False 	54	10	-2.828427125	-2.828427125	-2.828427125	-2.828427125	-2.834398844	-2.966231348	 True 	10	10	21	15	4	6	24	17	3	1	18	13	10	16	20	14	9	11	19	12	5	2	23	8	22	7	0
charlieCir 	 dot-jump 	 False 	55	21	3.464101615	2	3.464101615	2	3.493561366	1.845655061	 True 	10	10	16	19	22	12	1	17	7	8	15	4	21	18	5	10	6	9	3	20	14	24	13	2	23	11	0
charlieCir 	 dot-jump 	 False 	56	5	-3.464101615	2	-2	3.464101615	-3.361728861	1.944529439	 False 	13	10	23	12	6	15	17	11	24	13	7	10	3	4	22	5	19	16	18	9	1	21	8	14	20	2	0
charlieCir 	 dot-jump 	 False 	57	23	2	3.464101615	1.03527618	3.863703305	2.043403818	3.394686987	 False 	7	10	16	3	7	18	22	21	11	23	1	19	24	2	12	13	15	8	14	9	6	17	4	20	5	10	0
charlieCir 	 dot-jump 	 False 	58	16	2.828427125	-2.828427125	2.828427125	2.828427125	2.735524466	-2.86735697	 False 	11	10	12	4	19	18	23	21	10	20	14	15	22	16	8	13	6	2	5	7	9	17	24	3	11	1	0
charlieCir 	 dot-jump 	 False 	59	7	-4	0	-3.863703305	1.03527618	-3.954975131	-0.098874378	 False 	11	10	14	2	15	24	3	22	1	13	19	21	6	7	23	18	4	11	10	12	17	9	8	16	20	5	0
charlieCir 	 dot-jump 	 False 	60	5	-3.464101615	2	3.464101615	-2	-3.394686987	1.779738809	 False 	12	10	13	7	8	3	19	21	10	4	12	11	17	16	5	20	18	9	22	2	15	14	24	6	23	1	0
charlieCir 	 dot-jump 	 False 	61	24	1.03527618	3.863703305	-2	3.464101615	0.988743783	3.7901845	 False 	21	10	21	9	5	8	1	11	7	15	12	18	3	17	23	2	19	4	14	20	22	10	16	24	6	13	0
charlieCir 	 dot-jump 	 False 	62	9	-3.464101615	-2	0	4	-3.46060324	-2.043403818	 False 	3	10	19	2	8	9	16	21	15	24	13	5	1	22	7	10	17	11	4	12	6	23	3	14	20	18	0
charlieCir 	 dot-jump 	 False 	63	16	2.828427125	-2.828427125	-1.03527618	3.863703305	2.834398844	-2.86735697	 False 	15	10	12	8	22	5	24	10	1	3	9	14	2	17	4	20	18	16	23	13	11	15	19	21	7	6	0
charlieCir 	 dot-jump 	 False 	64	7	-4	0	-3.464101615	-2	-3.954975131	-0.16479063	 False 	11	10	19	2	14	18	20	6	8	5	12	16	9	7	22	23	13	15	17	24	3	21	11	4	1	10	0
charlieCir 	 dot-jump 	 False 	65	1	0	4	-1.03527618	3.863703305	-0.032958126	3.889058879	 False 	5	10	17	19	20	5	6	1	9	4	11	8	2	13	15	7	16	23	22	18	10	12	3	14	21	24	0
charlieCir 	 dot-jump 	 False 	66	8	-3.863703305	-1.03527618	-3.464101615	2	-3.691310122	-1.120576287	 False 	19	10	7	13	11	14	21	22	3	18	10	16	5	1	15	9	20	24	19	2	17	8	4	12	6	23	0
charlieCir 	 dot-jump 	 False 	67	24	1.03527618	3.863703305	-2.828427125	2.828427125	1.021701909	3.7901845	 False 	0	10	24	5	13	21	8	7	9	19	14	2	4	20	11	1	3	6	10	17	23	16	18	22	12	15	0
charlieCir 	 dot-jump 	 False 	68	3	-2	3.464101615	3.863703305	1.03527618	-1.944529439	3.361728861	 False 	11	10	19	1	18	11	7	5	13	2	12	4	20	3	10	14	16	22	15	23	9	8	21	6	24	17	0
charlieCir 	 dot-jump 	 False 	69	20	3.863703305	1.03527618	2.828427125	2.828427125	3.823142626	1.087618161	 False 	22	10	15	2	10	16	6	17	1	5	18	21	22	7	12	14	3	23	24	9	11	13	19	4	20	8	0
charlieCir 	 dot-jump 	 False 	70	6	-3.863703305	1.03527618	2.828427125	-2.828427125	-3.823142626	0.955785657	 False 	9	10	12	18	15	9	4	5	19	17	1	6	16	2	22	11	13	7	20	8	24	14	10	23	3	21	0
charlieCir 	 dot-jump 	 False 	71	7	-4	0	-3.863703305	-1.03527618	-3.987933257	-0.263665009	 False 	20	10	10	18	23	21	4	3	15	5	11	13	8	6	24	17	22	2	14	19	12	9	7	1	16	20	0
charlieCir 	 dot-jump 	 False 	72	6	-3.863703305	1.03527618	3.863703305	-1.03527618	-3.724268248	1.054660035	 False 	11	10	15	16	14	8	4	19	10	2	1	21	18	6	22	5	9	11	23	12	3	24	17	7	20	13	0
charlieCir 	 dot-jump 	 False 	73	11	-2	-3.464101615	-3.863703305	-1.03527618	-2.010445692	-3.526519492	 False 	19	10	1	9	4	3	23	6	17	19	16	22	8	12	21	20	18	24	2	13	5	11	7	10	14	15	0
charlieCir 	 dot-jump 	 False 	74	5	-3.464101615	2	3.863703305	-1.03527618	-3.427645113	1.977487565	 False 	0	10	5	15	16	22	20	9	12	21	2	19	18	3	10	6	23	4	17	7	13	11	24	1	8	14	0
charlieCir 	 dot-jump 	 False 	75	24	1.03527618	3.863703305	1.03527618	3.863703305	1.021701909	3.757226374	 True 	10	10	19	12	3	14	11	6	1	20	5	15	24	9	2	16	18	8	21	7	10	4	17	13	23	22	0
charlieCir 	 dot-jump 	 False 	76	14	1.03527618	-3.863703305	1.03527618	-3.863703305	1.054660035	-3.757226374	 True 	10	10	4	1	5	15	9	13	12	23	16	8	14	20	19	11	6	10	17	7	21	2	22	24	18	3	0
charlieCir 	 dot-jump 	 False 	77	23	2	3.464101615	0	4	2.076361944	3.394686987	 False 	11	10	21	16	15	13	22	5	10	3	7	19	1	23	9	11	12	4	20	24	6	2	8	14	18	17	0
charlieCir 	 dot-jump 	 False 	78	11	-2	-3.464101615	-4	0	-1.911571313	-3.427645113	 False 	0	10	11	3	22	1	4	23	17	15	24	13	7	10	12	9	21	8	18	5	20	19	6	16	14	2	0
charlieCir 	 dot-jump 	 False 	79	1	0	4	-1.03527618	3.863703305	-0.131832504	3.7901845	 False 	1	10	19	1	21	6	3	12	20	24	8	5	2	17	9	13	11	15	4	18	23	10	7	14	16	22	0
charlieCir 	 dot-jump 	 False 	80	23	2	3.464101615	1.03527618	3.863703305	1.977487565	3.295812609	 False 	14	10	8	6	2	5	18	15	10	16	3	17	24	4	11	13	23	12	14	19	9	7	1	21	22	20	0
charlieCir 	 dot-jump 	 False 	81	11	-2	-3.464101615	-2	-3.464101615	-1.845655061	-3.163980105	 True 	10	10	4	8	12	1	9	17	16	10	20	22	11	18	24	3	23	5	7	19	6	14	2	21	13	15	0
charlieCir 	 dot-jump 	 False 	82	12	-1.03527618	-3.863703305	-2	-3.464101615	-0.889869404	-3.954975131	 False 	20	10	23	7	4	13	3	15	21	10	20	9	11	14	17	2	16	18	24	1	8	19	12	6	5	22	0
charlieCir 	 dot-jump 	 False 	83	12	-1.03527618	-3.863703305	-1.03527618	-3.863703305	-1.285366918	-3.954975131	 True 	10	10	24	17	19	22	16	7	23	21	6	13	12	4	11	3	1	14	18	5	15	8	9	10	20	2	0
charlieCir 	 dot-jump 	 False 	84	10	-2.828427125	-2.828427125	-1.03527618	-3.863703305	-2.801440718	-2.933273222	 False 	13	10	1	24	6	3	9	8	2	16	17	20	12	11	7	10	23	4	19	14	21	22	15	5	13	18	0
charlieCir 	 dot-jump 	 False 	85	6	-3.863703305	1.03527618	2.828427125	-2.828427125	-3.7901845	1.054660035	 False 	11	10	14	23	4	11	7	24	20	15	22	10	16	6	13	17	8	9	21	5	2	18	3	1	19	12	0
charlieCir 	 dot-jump 	 False 	86	10	-2.828427125	-2.828427125	-3.464101615	2	-2.801440718	-2.900315096	 False 	12	10	19	15	18	22	6	7	23	20	11	9	5	14	10	21	4	24	12	16	2	17	3	1	8	13	0
charlieCir 	 dot-jump 	 False 	87	5	-3.464101615	2	2	3.464101615	-3.262854483	1.944529439	 False 	16	10	10	19	18	24	16	17	7	15	22	8	23	4	20	9	13	21	5	14	1	3	12	6	11	2	0
charlieCir 	 dot-jump 	 False 	88	11	-2	-3.464101615	-2.828427125	-2.828427125	-1.944529439	-3.559477618	 False 	6	10	24	4	5	17	14	21	11	20	18	9	10	13	2	16	23	12	6	1	22	19	3	7	15	8	0
charlieCir 	 dot-jump 	 False 	89	19	4	0	3.464101615	2	4.053849509	-0.065916252	 False 	12	10	5	10	14	23	3	24	22	8	1	4	21	18	19	6	9	15	12	13	2	17	16	7	20	11	0
charlieCir 	 dot-jump 	 False 	90	14	1.03527618	-3.863703305	1.03527618	-3.863703305	1.285366918	-3.823142626	 True 	10	10	12	19	1	4	3	22	20	15	5	8	14	13	2	24	7	17	23	18	21	9	6	16	10	11	0
charlieCir 	 dot-jump 	 False 	91	21	3.464101615	2	3.863703305	-1.03527618	3.361728861	2.043403818	 False 	11	10	10	14	11	23	20	9	19	8	6	15	18	21	5	4	22	13	16	3	2	1	17	24	7	12	0
charlieCir 	 dot-jump 	 False 	92	14	1.03527618	-3.863703305	-3.464101615	-2	0.922827531	-3.823142626	 False 	11	10	22	2	10	20	6	15	3	24	23	5	9	14	18	1	8	17	16	13	12	4	21	11	19	7	0
charlieCir 	 dot-jump 	 False 	93	8	-3.863703305	-1.03527618	-2	-3.464101615	-3.7901845	-1.153534413	 False 	6	10	10	2	20	18	23	1	8	13	5	4	11	22	15	9	16	19	6	17	24	3	7	21	12	14	0
charlieCir 	 dot-jump 	 False 	94	11	-2	-3.464101615	-2	-3.464101615	-1.878613187	-3.427645113	 True 	10	10	2	19	15	10	4	5	18	3	17	24	11	1	23	21	12	7	22	6	20	14	8	16	13	9	0
charlieCir 	 dot-jump 	 False 	95	16	2.828427125	-2.828427125	2.828427125	-2.828427125	2.735524466	-2.933273222	 True 	10	10	6	9	23	13	11	10	20	18	1	14	16	12	7	8	5	15	22	21	17	24	3	19	2	4	0
charlieCir 	 dot-jump 	 False 	96	20	3.863703305	1.03527618	3.464101615	2	3.7901845	0.922827531	 False 	20	10	1	9	8	5	14	4	18	3	22	10	21	6	11	19	24	13	2	12	16	15	20	23	7	17	0
charlieCir 	 dot-jump 	 False 	97	24	1.03527618	3.863703305	3.464101615	2	1.021701909	3.724268248	 False 	14	10	14	17	7	6	15	22	4	5	23	18	21	1	19	2	24	12	3	10	11	8	13	20	9	16	0
charlieCir 	 dot-jump 	 False 	98	21	3.464101615	2	2.828427125	2.828427125	3.394686987	1.878613187	 False 	3	10	9	8	24	21	6	12	1	19	20	3	22	4	10	11	15	16	13	23	2	18	7	14	5	17	0
charlieCir 	 dot-jump 	 False 	99	19	4	0	-1.03527618	-3.863703305	3.987933257	0	 False 	20	10	17	5	18	13	22	8	11	2	10	4	12	21	24	20	15	6	14	1	3	7	19	23	9	16	0
charlieCir 	 dot-jump 	 False 	100	4	-2.828427125	2.828427125	-3.464101615	-2	-2.834398844	2.735524466	 False 	6	10	11	7	2	18	12	1	4	15	5	13	9	3	19	10	21	17	24	8	20	16	6	23	22	14	0
charlieCir 	 dot-jump 	 False 	101	21	3.464101615	2	-3.863703305	1.03527618	3.361728861	1.977487565	 False 	11	10	9	15	1	16	20	11	12	14	10	13	6	21	23	3	22	2	24	8	17	18	7	4	19	5	0
charlieCir 	 dot-jump 	 False 	102	5	-3.464101615	2	-3.863703305	1.03527618	-3.46060324	1.911571313	 False 	13	10	19	7	13	12	9	10	20	15	22	16	6	11	24	5	21	18	8	4	1	17	23	3	2	14	0
charlieCir 	 dot-jump 	 False 	103	20	3.863703305	1.03527618	3.464101615	-2	3.691310122	0.889869404	 False 	23	10	15	16	23	24	3	6	7	11	2	13	17	14	8	18	9	1	12	19	10	4	22	5	21	20	0
charlieCir 	 dot-jump 	 False 	104	14	1.03527618	-3.863703305	-2.828427125	-2.828427125	1.021701909	-3.922017005	 False 	11	10	3	19	1	13	24	22	16	5	23	11	10	14	2	18	15	9	8	20	21	17	7	6	12	4	0
charlieCir 	 dot-jump 	 False 	105	5	-3.464101615	2	-2	3.464101615	-3.46060324	1.944529439	 False 	14	10	23	1	18	24	20	4	14	16	13	7	3	22	15	12	5	21	6	2	17	8	10	19	9	11	0
charlieCir 	 dot-jump 	 False 	106	16	2.828427125	-2.828427125	3.464101615	-2	2.801440718	-2.834398844	 False 	20	10	24	2	20	23	3	14	4	11	9	15	17	5	21	19	8	12	13	18	10	6	16	22	7	1	0
charlieCir 	 dot-jump 	 False 	107	20	3.863703305	1.03527618	0	-4	3.757226374	1.021701909	 False 	11	10	9	5	22	18	21	8	15	12	16	2	13	20	11	6	10	19	3	14	17	1	7	4	23	24	0
charlieCir 	 dot-jump 	 False 	108	16	2.828427125	-2.828427125	2.828427125	-2.828427125	2.834398844	-2.834398844	 True 	10	10	18	4	11	21	10	19	15	3	9	20	16	12	22	2	1	8	7	13	5	14	17	23	6	24	0
charlieCir 	 dot-jump 	 False 	109	5	-3.464101615	2	1.03527618	-3.863703305	-3.559477618	1.977487565	 False 	16	10	17	11	20	21	9	6	12	18	24	13	14	4	22	16	15	23	5	3	8	10	1	2	19	7	0
charlieCir 	 dot-jump 	 False 	110	21	3.464101615	2	2	-3.464101615	3.62539387	1.779738809	 False 	17	10	18	9	6	14	13	3	24	16	1	12	15	10	5	4	23	17	2	21	8	19	7	20	22	11	0
charlieCir 	 dot-jump 	 False 	111	20	3.863703305	1.03527618	3.863703305	1.03527618	3.691310122	1.021701909	 True 	10	10	15	2	17	8	7	19	10	13	12	21	20	18	6	4	14	22	16	1	9	23	11	3	24	5	0
charlieCir 	 dot-jump 	 False 	112	11	-2	-3.464101615	-2.828427125	-2.828427125	-1.977487565	-3.559477618	 False 	5	10	9	7	19	6	21	11	16	8	18	5	10	13	12	15	3	20	24	14	17	2	23	1	22	4	0
charlieCir 	 dot-jump 	 False 	113	20	3.863703305	1.03527618	-4	0	3.856100753	1.186492539	 False 	11	10	5	14	10	9	19	22	3	12	21	23	7	20	1	4	6	18	16	11	13	24	17	2	8	15	0
charlieCir 	 dot-jump 	 False 	114	5	-3.464101615	2	-3.863703305	1.03527618	-3.592435744	1.845655061	 False 	11	10	21	24	13	4	3	12	17	1	11	16	6	5	14	22	19	23	15	10	20	18	8	2	7	9	0
charlieCir 	 dot-jump 	 False 	115	16	2.828427125	-2.828427125	3.863703305	-1.03527618	2.702566339	-2.900315096	 False 	12	10	5	15	24	9	14	4	20	11	13	8	18	22	16	1	6	2	17	21	10	19	3	23	7	12	0
charlieCir 	 dot-jump 	 False 	116	24	1.03527618	3.863703305	-3.464101615	2	0.856911278	3.7901845	 False 	13	10	23	11	6	2	3	18	1	13	20	17	5	4	9	24	14	10	8	21	16	22	19	7	12	15	0
charlieCir 	 dot-jump 	 False 	117	11	-2	-3.464101615	0	-4	-1.845655061	-3.757226374	 False 	14	10	19	15	24	16	7	18	4	14	22	10	13	17	6	5	11	2	3	12	1	21	9	20	23	8	0
