subject 	task 	staircase 	trialNum 	responseX 	responseY 	correctX 	correctY 	clickX 	clickY 	accuracy 	responsePosInStream 	correctPosInStream 	position0 	position1 	position2 	position3 	position4 	position5 	position6 	position7 	position8 	position9 	position10 	position11 	position12 	position13 	position14 	position15 	position16 	position17 	position18 	position19 	position20 	position21 	position22 	position23 	longFrames
charlie3 	 dot-jump 	 False 	 0 	 -3.86370330516 	 -1.03527618041 	 -3.86370330516 	 1.03527618041 	 -3.92201700477 	 -1.21945066535 	 False 	 12 	 10 	2 	10 	4 	17 	20 	23 	7 	9 	8 	14 	11 	5 	13 	6 	12 	18 	0 	3 	19 	15 	1 	22 	16 	21 	0
charlie3 	 dot-jump 	 False 	 1 	 0.0 	 -4.0 	 3.86370330516 	 1.03527618041 	 0.0988743782714 	 -4.11976576131 	 False 	 20 	 10 	2 	6 	11 	10 	14 	19 	12 	21 	13 	20 	1 	9 	17 	7 	5 	3 	8 	15 	22 	4 	18 	16 	23 	0 	0
charlie3 	 dot-jump 	 False 	 2 	 -3.86370330516 	 1.03527618041 	 2.0 	 3.46410161514 	 -3.75722637431 	 1.0217019088 	 False 	 12 	 10 	3 	20 	23 	15 	9 	21 	8 	6 	7 	10 	4 	13 	11 	18 	22 	5 	17 	16 	2 	14 	12 	19 	1 	0 	0
charlie3 	 dot-jump 	 False 	 3 	 3.46410161514 	 2.0 	 3.86370330516 	 1.03527618041 	 3.39468698732 	 1.94452943934 	 False 	 11 	 10 	23 	7 	8 	22 	13 	11 	14 	6 	0 	5 	1 	2 	21 	18 	15 	17 	3 	12 	20 	9 	16 	19 	10 	4 	0
charlie3 	 dot-jump 	 False 	 4 	 -3.86370330516 	 -1.03527618041 	 1.03527618041 	 -3.86370330516 	 -3.72426824822 	 -1.05466003489 	 False 	 7 	 10 	6 	10 	0 	9 	3 	17 	15 	13 	23 	11 	19 	4 	12 	1 	21 	8 	16 	22 	7 	5 	20 	2 	18 	14 	0
charlie3 	 dot-jump 	 False 	 5 	 2.0 	 -3.46410161514 	 3.86370330516 	 1.03527618041 	 2.04340381761 	 -3.69131012213 	 False 	 8 	 10 	6 	0 	12 	13 	5 	10 	15 	11 	20 	18 	1 	7 	2 	22 	19 	8 	23 	17 	21 	4 	9 	14 	3 	16 	0
charlie3 	 dot-jump 	 False 	 6 	 1.03527618041 	 3.86370330516 	 2.82842712475 	 -2.82842712475 	 0.955785656624 	 3.69131012213 	 False 	 5 	 10 	8 	23 	2 	14 	20 	5 	3 	18 	4 	10 	21 	22 	6 	15 	19 	13 	17 	16 	0 	1 	12 	9 	7 	11 	0
charlie3 	 dot-jump 	 False 	 7 	 1.03527618041 	 -3.86370330516 	 3.86370330516 	 1.03527618041 	 0.922827530533 	 -3.75722637431 	 False 	 16 	 10 	8 	0 	12 	22 	20 	23 	11 	15 	16 	17 	1 	21 	3 	5 	6 	13 	19 	4 	2 	7 	18 	14 	9 	10 	0
charlie3 	 dot-jump 	 False 	 8 	 2.82842712475 	 2.82842712475 	 3.86370330516 	 1.03527618041 	 2.80144071769 	 2.7684825916 	 False 	 1 	 10 	7 	3 	19 	12 	20 	13 	17 	14 	16 	6 	1 	4 	2 	18 	8 	15 	0 	9 	11 	5 	22 	23 	10 	21 	0
charlie3 	 dot-jump 	 False 	 9 	 -3.46410161514 	 2.0 	 0.0 	 4.0 	 -3.52651949168 	 2.01044569152 	 False 	 5 	 10 	16 	18 	20 	3 	22 	10 	19 	2 	9 	8 	6 	0 	5 	15 	12 	17 	1 	4 	23 	13 	7 	21 	11 	14 	0
charlie3 	 dot-jump 	 False 	 10 	 -2.82842712475 	 -2.82842712475 	 4.0 	 0.0 	 -2.86735696987 	 -3.06510572641 	 False 	 11 	 10 	1 	3 	12 	21 	7 	13 	8 	10 	9 	23 	0 	15 	5 	2 	11 	19 	20 	17 	6 	14 	16 	22 	4 	18 	0
charlie3 	 dot-jump 	 False 	 11 	 3.86370330516 	 -1.03527618041 	 -3.46410161514 	 2.0 	 3.95497513086 	 -1.18649253926 	 False 	 12 	 10 	7 	3 	13 	18 	5 	12 	22 	21 	20 	0 	10 	8 	23 	19 	14 	17 	6 	1 	9 	11 	4 	15 	2 	16 	0
charlie3 	 dot-jump 	 False 	 12 	 3.46410161514 	 -2.0 	 -3.46410161514 	 2.0 	 3.39468698732 	 -2.14227819588 	 False 	 9 	 10 	12 	19 	21 	11 	15 	3 	1 	17 	18 	22 	10 	23 	8 	13 	4 	2 	7 	14 	5 	6 	16 	20 	0 	9 	0
