"","correctSpatial","responseSpatialPos","correctPosInStream","responsePosInStream","position0","position1","position2","position3","position4","position5","position6","position7","position8","position9","position10","position11","position12","position13","position14","position15","position16","position17","position18","position19","position20","position21","position22","position23"
"543",14,21,17,14,16,10,6,11,24,13,9,2,5,1,17,4,19,21,20,18,14,12,15,22,23,8,3,7
"544",16,15,9,10,22,9,8,5,2,4,24,3,16,15,10,19,12,14,18,11,21,1,23,17,7,6,20,13
"545",1,16,10,20,23,12,15,24,3,8,18,6,14,1,17,22,13,9,4,7,20,5,10,16,2,21,11,19
"546",16,15,13,15,6,18,17,11,7,13,10,24,21,3,12,23,16,22,15,2,9,1,20,8,14,5,4,19
"547",12,10,16,23,6,5,20,22,8,13,7,24,3,2,14,16,23,11,1,12,17,18,4,19,21,9,10,15
"548",1,13,11,12,10,2,7,3,22,17,4,5,8,12,1,13,11,18,14,9,23,6,15,21,16,19,24,20
"549",16,16,15,15,12,24,13,10,21,9,15,6,14,18,7,8,2,20,16,3,17,19,22,11,1,5,23,4
"550",19,20,12,9,4,21,9,1,12,10,5,3,20,22,16,19,2,23,6,14,18,11,17,15,8,7,13,24
"551",10,22,14,11,1,13,14,3,21,8,9,19,15,6,22,12,20,10,23,2,4,11,17,16,5,7,18,24
"552",15,15,9,9,13,4,24,18,22,3,21,6,15,10,2,1,7,20,8,14,17,16,9,5,11,23,12,19
"553",12,12,14,14,8,3,16,19,13,6,23,5,17,10,14,11,21,12,9,22,4,7,20,24,2,18,1,15
"554",9,14,17,16,5,18,13,10,12,3,20,1,17,24,15,23,7,8,11,14,9,21,2,22,4,19,6,16
"555",20,20,11,11,17,8,12,10,5,19,21,23,22,15,20,9,4,1,14,3,24,13,16,2,18,6,7,11
"556",24,24,16,16,13,15,23,22,10,19,14,18,6,7,2,11,3,16,5,24,8,1,21,4,9,20,17,12
"557",9,16,13,19,21,5,3,24,4,8,22,19,23,17,6,14,9,20,15,11,1,2,16,7,13,18,10,12
"558",19,4,12,13,13,15,10,22,21,6,12,7,17,8,2,19,4,11,5,9,24,3,23,20,14,1,16,18
"559",11,21,15,12,7,6,16,15,1,14,12,23,8,13,22,21,2,4,11,5,20,24,17,3,18,10,9,19
"560",5,15,10,12,11,7,24,2,13,9,17,14,10,5,18,15,6,20,3,4,8,12,21,22,16,23,1,19
"561",7,9,10,12,15,20,1,4,14,2,12,22,5,7,24,9,18,8,21,6,11,19,16,23,3,17,10,13
"562",20,19,12,2,13,19,10,9,18,4,17,12,8,3,21,20,7,6,1,14,24,2,5,22,15,23,11,16
"563",6,22,14,10,16,3,13,20,9,10,17,1,12,22,5,23,11,6,14,4,15,18,7,21,24,8,19,2
"564",14,20,11,3,6,1,20,22,17,18,19,7,10,8,14,12,11,9,21,24,5,13,16,3,23,15,4,2
"565",24,16,17,6,14,1,9,13,11,16,4,19,6,8,3,17,15,2,18,10,24,5,21,20,12,23,22,7
"566",18,4,16,20,13,19,9,6,20,10,12,22,21,16,17,3,24,2,7,18,15,1,23,4,14,5,8,11
"567",1,1,15,15,22,7,11,17,14,24,8,4,6,19,9,21,12,3,1,15,13,16,18,20,23,10,2,5
"568",20,10,13,21,11,7,24,16,1,14,19,22,2,4,15,18,20,12,23,3,21,13,5,8,10,6,17,9
"569",23,22,9,21,13,24,14,11,9,21,2,7,23,6,3,4,15,16,17,18,8,10,12,20,22,1,5,19
"570",11,22,17,16,6,21,16,19,12,5,18,1,2,15,10,20,14,8,17,22,11,7,4,23,9,24,13,3
"571",23,6,12,20,16,17,20,7,21,1,3,12,14,11,4,23,18,22,19,5,13,9,10,6,15,24,2,8
"572",24,19,11,8,17,9,13,10,21,4,5,19,8,2,24,11,6,20,22,16,15,12,23,1,18,3,14,7
"573",21,11,9,7,20,15,7,12,2,16,11,4,21,22,3,13,24,14,1,23,5,8,6,19,10,18,9,17
"574",19,16,16,15,5,14,4,24,17,15,18,12,3,1,22,11,10,20,16,19,2,23,21,7,8,13,9,6
"575",22,4,10,3,12,7,4,1,21,17,13,8,16,22,3,20,18,10,15,11,5,23,14,2,24,9,19,6
"576",12,12,15,15,5,13,9,24,22,19,16,1,6,20,21,23,11,8,12,17,2,18,3,15,4,7,14,10
"577",7,22,14,11,15,20,10,23,24,11,8,21,9,19,22,13,6,7,1,16,17,5,14,2,12,3,18,4
"578",15,10,13,11,8,4,11,7,2,17,21,1,5,13,10,24,15,16,9,22,23,19,18,12,6,3,20,14
"579",15,10,9,7,4,1,7,9,22,20,10,8,15,19,11,21,12,3,18,6,5,16,24,17,14,2,13,23
"580",21,4,13,11,7,10,18,9,24,19,2,3,8,13,4,12,21,20,17,14,15,23,5,16,6,1,22,11
"581",14,15,16,4,7,6,5,15,1,13,19,2,12,4,21,8,10,17,18,14,16,22,11,3,24,23,20,9
"582",2,4,14,20,15,16,6,20,21,14,13,18,3,11,22,19,9,2,12,7,17,24,10,4,1,5,23,8
"583",24,11,17,6,14,20,6,22,2,11,10,19,8,3,21,5,9,16,12,7,24,13,23,15,1,18,17,4
"584",8,22,12,15,20,10,3,9,12,14,24,15,16,18,1,8,19,2,22,6,11,17,21,7,13,5,23,4
"585",23,4,10,19,14,11,24,8,22,20,13,15,2,23,21,1,10,5,6,7,3,18,4,12,16,9,17,19
"586",10,11,15,8,1,15,2,9,23,16,6,11,13,12,24,3,20,19,10,22,5,4,18,7,21,8,17,14
"587",21,21,11,11,24,2,14,18,20,9,19,6,10,3,21,17,11,4,16,22,5,23,1,8,12,7,13,15
"588",6,15,10,11,21,4,10,22,1,20,8,19,23,6,15,17,7,24,3,14,12,18,11,9,5,16,2,13
"589",2,23,11,8,19,9,16,14,11,22,17,23,5,4,2,6,15,7,12,1,24,3,20,18,8,10,13,21
"590",23,9,15,8,11,3,12,6,4,22,15,9,5,20,14,1,19,17,23,8,24,21,10,2,16,13,7,18
"591",3,4,17,15,18,23,14,11,20,6,13,10,9,21,15,19,17,22,4,7,3,5,8,1,12,16,24,2
"592",10,11,9,19,12,4,2,17,23,13,7,3,10,21,22,5,9,15,24,8,18,19,11,16,1,20,6,14
"593",19,13,13,7,22,5,9,15,11,23,13,20,18,10,1,12,19,14,21,2,7,6,8,24,3,4,17,16
"594",5,22,12,7,23,18,7,20,2,10,22,24,8,21,13,5,3,4,9,1,15,17,19,16,11,14,6,12
"595",10,4,16,20,22,23,18,6,8,7,24,9,1,20,21,13,11,5,3,10,16,19,17,4,12,14,2,15
"596",13,21,14,9,2,4,18,3,14,17,6,9,21,1,16,15,8,13,7,12,20,11,22,5,24,23,10,19
"597",4,4,14,14,2,6,19,16,7,24,23,13,10,22,12,21,20,4,5,3,8,1,18,9,11,14,17,15
"598",14,11,13,14,23,1,16,9,15,13,21,18,24,12,10,6,14,11,19,20,17,2,7,8,3,5,22,4
"599",13,17,12,13,8,7,14,15,23,2,22,24,3,18,5,13,17,12,16,4,21,19,10,9,6,11,1,20
"600",5,6,16,4,17,12,8,6,3,22,14,18,1,9,11,10,16,2,13,5,4,7,20,15,21,24,19,23
"601",14,5,15,14,16,2,1,21,18,4,7,19,12,3,22,11,24,5,14,23,15,20,6,8,9,17,10,13
"602",15,6,11,7,7,17,1,9,3,22,6,12,2,19,15,23,24,5,20,8,16,13,10,21,18,4,11,14
"603",22,22,9,9,4,5,20,11,23,14,3,8,22,13,18,19,15,9,24,7,1,2,21,12,17,16,6,10
"604",10,19,10,7,23,13,24,17,16,11,19,6,9,10,20,2,18,5,8,1,3,4,21,12,15,7,14,22
"605",7,22,17,22,4,9,3,6,11,19,8,18,17,12,15,2,5,21,1,10,7,23,24,13,16,22,20,14
"606",18,8,13,10,4,13,5,12,3,16,17,20,22,8,15,1,18,23,11,19,2,24,7,14,9,6,21,10
"607",16,22,16,22,7,6,11,20,4,10,12,13,2,23,9,14,21,15,1,16,24,5,19,17,8,22,18,3
"608",1,12,10,18,10,21,8,6,24,14,16,2,13,1,18,23,4,9,3,5,17,12,22,15,7,19,20,11
"609",6,15,9,19,23,18,20,12,14,11,3,16,6,1,9,7,4,21,2,17,24,19,15,13,5,8,10,22
"610",18,5,14,24,4,7,24,22,9,15,8,12,16,10,6,19,17,18,11,2,13,21,14,1,20,23,3,5
"611",6,5,12,1,5,21,17,15,7,14,22,19,8,2,4,6,11,12,18,10,23,9,3,24,20,16,1,13
"612",22,5,17,11,17,8,12,20,11,4,24,3,6,16,5,13,15,14,23,21,22,2,1,7,19,10,18,9
"613",12,10,15,17,19,7,15,21,11,20,17,6,22,18,13,8,5,14,12,1,10,23,16,4,3,9,2,24
