"","correctSpatial","responseSpatialPos","correctPosInStream","responsePosInStream","position0","position1","position2","position3","position4","position5","position6","position7","position8","position9","position10","position11","position12","position13","position14","position15","position16","position17","position18","position19","position20","position21","position22","position23"
"1083",5,21,10,1,21,2,11,14,20,3,1,13,16,5,18,9,23,6,15,17,19,22,24,12,4,8,10,7
"1084",6,21,14,20,24,17,23,8,19,22,16,10,2,9,14,12,7,6,20,5,3,13,4,21,11,18,1,15
"1085",10,22,9,14,4,24,16,19,2,5,23,8,10,11,18,21,17,22,14,12,13,20,15,6,3,1,7,9
"1086",5,8,15,2,3,8,2,20,18,23,10,21,7,11,1,22,13,24,5,6,16,17,12,15,9,14,4,19
"1087",6,20,13,12,18,16,13,22,11,7,9,24,2,5,23,20,6,3,10,8,1,4,15,19,14,21,12,17
"1088",6,5,17,4,17,10,9,5,7,1,19,2,15,20,24,3,14,16,13,4,6,18,11,12,22,23,21,8
"1089",7,9,10,8,18,24,10,2,14,13,17,9,15,7,6,20,8,12,1,22,23,21,11,4,19,5,16,3
"1090",22,11,12,3,7,17,11,6,13,23,24,3,21,10,14,22,9,2,8,19,16,5,15,1,18,4,12,20
"1091",5,4,11,12,24,2,16,21,15,14,6,19,20,1,5,4,10,22,11,23,18,13,9,17,12,8,7,3
"1092",20,19,16,8,9,22,13,2,21,3,15,19,6,5,12,1,17,14,11,20,8,4,10,23,16,24,7,18
"1093",18,3,15,6,2,1,16,15,23,3,12,13,17,7,24,19,5,14,18,8,4,11,20,22,9,6,21,10
"1094",19,24,17,16,9,18,17,23,13,3,1,11,22,7,20,14,15,21,8,24,19,12,6,5,2,10,4,16
"1095",19,22,13,14,1,6,21,20,5,23,13,7,12,9,15,24,19,22,17,10,16,4,2,8,11,14,18,3
"1096",6,6,14,14,8,3,21,9,2,1,4,7,14,17,22,5,18,6,20,16,19,12,15,11,24,10,13,23
"1097",3,6,10,12,16,12,7,21,15,2,17,20,8,3,11,6,19,22,24,14,5,1,18,9,23,4,10,13
"1098",14,3,12,14,24,4,2,17,5,18,23,10,22,19,1,14,13,3,8,7,12,16,21,11,9,15,6,20
"1099",16,1,16,18,15,4,17,20,22,6,8,21,24,9,19,14,5,23,18,16,11,1,13,12,7,3,10,2
"1100",15,16,9,2,1,16,13,11,10,20,3,5,15,18,23,7,4,22,21,12,24,2,19,6,14,8,17,9
"1101",13,18,11,21,7,3,4,17,11,6,8,21,22,1,13,19,2,10,5,16,20,24,14,23,18,12,15,9
"1102",4,10,15,18,23,14,5,2,3,24,17,16,13,19,21,11,9,1,4,8,18,10,7,6,22,20,12,15
"1103",8,8,17,17,17,12,11,1,23,5,16,2,20,22,6,4,15,24,9,7,8,21,19,3,14,18,10,13
"1104",12,1,16,14,17,9,21,16,5,10,15,14,22,23,4,24,2,1,6,12,7,18,20,8,3,19,11,13
"1105",15,10,13,1,10,17,4,5,14,16,3,22,24,20,6,9,15,11,1,23,13,12,8,7,19,18,21,2
"1106",18,10,14,17,13,3,8,21,2,24,4,22,19,12,7,16,9,18,1,17,10,23,11,20,5,6,14,15
"1107",14,3,11,6,7,5,9,1,12,3,8,21,4,13,14,20,19,24,23,6,18,15,22,17,10,16,11,2
"1108",11,13,9,5,24,7,20,6,13,22,23,10,11,12,19,14,17,3,9,8,18,2,4,15,5,1,16,21
"1109",18,3,10,15,16,7,9,20,1,4,24,5,12,18,2,21,23,10,3,17,19,14,13,15,22,8,6,11
"1110",3,9,12,14,18,23,11,2,12,19,1,20,5,15,7,3,8,9,13,22,14,4,10,24,21,16,6,17
"1111",5,4,14,13,9,8,20,15,24,3,12,1,16,17,22,14,4,5,18,21,6,7,19,10,11,2,23,13
"1112",15,6,10,12,23,19,10,5,7,18,2,21,4,15,13,6,24,20,16,1,12,14,3,11,8,17,22,9
"1113",19,11,13,22,9,3,24,15,8,12,5,18,10,20,23,22,19,2,7,6,13,21,1,17,14,11,16,4
"1114",11,13,17,19,19,21,7,16,2,18,10,6,20,5,22,23,4,24,3,14,11,12,13,8,17,15,9,1
"1115",5,5,11,11,3,18,2,9,4,17,21,7,6,20,5,10,22,23,24,16,12,1,13,19,11,15,8,14
"1116",10,11,15,24,2,1,24,3,17,20,6,14,8,4,7,15,21,13,10,9,22,18,19,12,16,5,23,11
"1117",16,17,12,15,4,12,5,10,11,6,3,24,20,8,14,16,23,15,17,22,19,2,7,9,18,21,13,1
"1118",8,11,9,11,1,17,22,20,12,9,15,4,8,14,11,18,13,10,23,5,21,2,3,24,7,19,6,16
"1119",7,6,16,17,11,23,24,15,12,10,5,9,3,20,14,21,4,8,1,7,6,18,16,13,19,2,17,22
"1120",12,18,17,11,13,21,16,8,4,2,10,3,24,23,18,17,9,20,19,5,12,7,11,6,15,14,22,1
"1121",7,12,14,10,1,9,22,14,3,2,8,4,10,12,21,18,6,7,11,24,16,19,20,5,15,17,13,23
"1122",16,11,16,20,13,20,19,14,15,24,3,1,8,6,12,23,5,21,22,16,7,17,4,11,2,9,18,10
"1123",23,5,11,7,3,2,24,10,22,7,5,19,20,13,23,8,4,9,17,1,12,6,14,16,18,11,15,21
"1124",18,24,9,19,21,23,1,6,11,22,5,7,18,10,13,15,2,20,4,3,12,8,24,14,16,9,17,19
"1125",21,2,12,11,24,9,4,11,8,15,13,14,6,7,2,21,1,10,22,23,3,12,18,17,19,20,16,5
"1126",7,7,13,13,21,23,20,12,11,3,9,15,18,8,4,24,7,10,16,14,2,13,17,19,5,22,6,1
"1127",13,20,15,13,24,1,19,15,10,2,14,6,11,21,17,3,20,4,13,7,5,23,16,8,12,18,9,22
"1128",22,15,10,14,16,6,1,17,4,13,12,18,3,22,20,2,5,15,7,21,24,9,10,8,23,14,11,19
"1129",7,19,9,10,15,6,24,20,1,21,16,18,7,19,13,10,23,3,8,22,14,2,11,9,5,4,12,17
"1130",2,3,13,15,7,14,1,8,17,22,16,18,19,10,4,13,2,21,3,24,6,9,5,23,20,15,12,11
"1131",17,13,15,14,20,21,8,22,12,1,24,11,6,10,4,2,23,13,17,5,18,19,14,16,9,3,15,7
