subject 	task 	staircase 	trialNum 	stimulus 	monitorWidth 	monitorHeight 	stimHeight  	ISI 	SOA 	responseSpatialPos 	responseX 	responseY 	correctX 	correctY 	clickX 	clickY 	accuracy 	responsePosInStream 	correctPosInStream 	position0 	position1 	position2 	position3 	position4 	position5 	position6 	position7 	position8 	position9 	position10 	position11 	position12 	position13 	position14 	position15 	position16 	position17 	position18 	position19 	position20 	position21 	position22 	position23 	longFrames
WN 	 dot-jump 	 False 	 0 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 21 	 5.02640136157 	 2.90199417916 	 -5.60622225078 	 1.50218272469 	 17.5013752897 	 12.984891344 	 False 	 19 	 13 	24 	17 	23 	8 	19 	22 	16 	10 	2 	9 	14 	12 	7 	6 	20 	5 	3 	13 	4 	21 	11 	18 	1 	15 	0
WN 	 dot-jump 	 False 	 1 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 -4.10403952609 	 -4.10403952609 	 17.2755510924 	 14.4527486263 	 False 	 13 	 8 	4 	24 	16 	19 	2 	5 	23 	8 	10 	11 	18 	21 	17 	22 	14 	12 	13 	20 	15 	6 	3 	1 	7 	9 	0
WN 	 dot-jump 	 False 	 2 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 8 	 -5.60622225078 	 -1.50218272469 	 -5.02640136157 	 2.90199417916 	 -5.72087966459 	 -1.61840674722 	 False 	 1 	 14 	3 	8 	2 	20 	18 	23 	10 	21 	7 	11 	1 	22 	13 	24 	5 	6 	16 	17 	12 	15 	9 	14 	4 	19 	0
WN 	 dot-jump 	 False 	 3 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 20 	 5.60622225078 	 1.50218272469 	 -5.60622225078 	 1.50218272469 	 5.34450600245 	 1.35494518372 	 False 	 11 	 12 	18 	16 	13 	22 	11 	7 	9 	24 	2 	5 	23 	20 	6 	3 	10 	8 	1 	4 	15 	19 	14 	21 	12 	17 	0
WN 	 dot-jump 	 False 	 4 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 5 	 -5.02640136157 	 2.90199417916 	 -5.60622225078 	 1.50218272469 	 -4.74230814302 	 2.70989036744 	 False 	 3 	 16 	17 	10 	9 	5 	7 	1 	19 	2 	15 	20 	24 	3 	14 	16 	13 	4 	6 	18 	11 	12 	22 	23 	21 	8 	0
WN 	 dot-jump 	 False 	 5 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 9 	 -5.02640136157 	 -2.90199417916 	 -5.80398835832 	 0.0 	 -5.30686863623 	 -2.8604398323 	 False 	 7 	 9 	18 	24 	10 	2 	14 	13 	17 	9 	15 	7 	6 	20 	8 	12 	1 	22 	23 	21 	11 	4 	19 	5 	16 	3 	0
WN 	 dot-jump 	 False 	 6 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 11 	 -2.90199417916 	 -5.02640136157 	 4.10403952609 	 4.10403952609 	 -3.01098929715 	 -5.15631917138 	 False 	 2 	 11 	7 	17 	11 	6 	13 	23 	24 	3 	21 	10 	14 	22 	9 	2 	8 	19 	16 	5 	15 	1 	18 	4 	12 	20 	0
WN 	 dot-jump 	 False 	 7 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 4 	 -4.10403952609 	 4.10403952609 	 -5.02640136157 	 2.90199417916 	 -3.61318715658 	 3.87664872009 	 False 	 11 	 10 	24 	2 	16 	21 	15 	14 	6 	19 	20 	1 	5 	4 	10 	22 	11 	23 	18 	13 	9 	17 	12 	8 	7 	3 	0
WN 	 dot-jump 	 False 	 8 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 19 	 5.80398835832 	 0.0 	 5.60622225078 	 1.50218272469 	 5.53269283352 	 0.112912098643 	 False 	 7 	 15 	9 	22 	13 	2 	21 	3 	15 	19 	6 	5 	12 	1 	17 	14 	11 	20 	8 	4 	10 	23 	16 	24 	7 	18 	0
WN 	 dot-jump 	 False 	 9 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 3 	 -2.90199417916 	 5.02640136157 	 5.60622225078 	 -1.50218272469 	 -2.8604398323 	 5.00576970652 	 False 	 5 	 14 	2 	1 	16 	15 	23 	3 	12 	13 	17 	7 	24 	19 	5 	14 	18 	8 	4 	11 	20 	22 	9 	6 	21 	10 	0
