subject 	task 	staircase 	trialNum 	stimulus 	monitorWidth 	monitorHeight 	stimHeight  	ISI 	SOA 	responseSpatialPos 	responseX 	responseY 	correctX 	correctY 	clickX 	clickY 	accuracy 	responsePosInStream 	correctPosInStream 	position0 	position1 	position2 	position3 	position4 	position5 	position6 	position7 	position8 	position9 	position10 	position11 	position12 	position13 	position14 	position15 	position16 	position17 	position18 	position19 	position20 	position21 	position22 	position23 	longFrames
IvT 	 dot-jump 	 False 	 60 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 4.10403952609 	 4.10403952609 	 4.02719818494 	 4.14011028359 	 True 	 8 	 8 	4 	5 	20 	11 	23 	14 	3 	8 	22 	13 	18 	19 	15 	9 	24 	7 	1 	2 	21 	12 	17 	16 	6 	10 	0
IvT 	 dot-jump 	 False 	 61 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 19 	 5.80398835832 	 0.0 	 -4.10403952609 	 -4.10403952609 	 5.68324229838 	 -0.225824197287 	 False 	 6 	 9 	23 	13 	24 	17 	16 	11 	19 	6 	9 	10 	20 	2 	18 	5 	8 	1 	3 	4 	21 	12 	15 	7 	14 	22 	0
IvT 	 dot-jump 	 False 	 62 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 -5.80398835832 	 0.0 	 3.95192345251 	 4.47884657952 	 False 	 21 	 16 	4 	9 	3 	6 	11 	19 	8 	18 	17 	12 	15 	2 	5 	21 	1 	10 	7 	23 	24 	13 	16 	22 	20 	14 	0
IvT 	 dot-jump 	 False 	 63 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 8 	 -5.60622225078 	 -1.50218272469 	 5.60622225078 	 -1.50218272469 	 -5.34450600245 	 -1.91950567694 	 False 	 9 	 12 	4 	13 	5 	12 	3 	16 	17 	20 	22 	8 	15 	1 	18 	23 	11 	19 	2 	24 	7 	14 	9 	6 	21 	10 	0
IvT 	 dot-jump 	 False 	 64 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 4.10403952609 	 -4.10403952609 	 3.9142860863 	 4.40357184709 	 False 	 21 	 15 	7 	6 	11 	20 	4 	10 	12 	13 	2 	23 	9 	14 	21 	15 	1 	16 	24 	5 	19 	17 	8 	22 	18 	3 	0
IvT 	 dot-jump 	 False 	 65 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 12 	 -1.50218272469 	 -5.60622225078 	 0.0 	 5.80398835832 	 -1.65604411343 	 -5.34450600245 	 False 	 17 	 9 	10 	21 	8 	6 	24 	14 	16 	2 	13 	1 	18 	23 	4 	9 	3 	5 	17 	12 	22 	15 	7 	19 	20 	11 	0
IvT 	 dot-jump 	 False 	 66 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 15 	 2.90199417916 	 -5.02640136157 	 -5.60622225078 	 1.50218272469 	 3.50027505794 	 -4.85522024166 	 False 	 18 	 8 	23 	18 	20 	12 	14 	11 	3 	16 	6 	1 	9 	7 	4 	21 	2 	17 	24 	19 	15 	13 	5 	8 	10 	22 	0
IvT 	 dot-jump 	 False 	 67 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 5 	 -5.02640136157 	 2.90199417916 	 5.60622225078 	 -1.50218272469 	 -5.57033019973 	 2.93571456472 	 False 	 23 	 13 	4 	7 	24 	22 	9 	15 	8 	12 	16 	10 	6 	19 	17 	18 	11 	2 	13 	21 	14 	1 	20 	23 	3 	5 	0
IvT 	 dot-jump 	 False 	 68 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 5 	 -5.02640136157 	 2.90199417916 	 -5.60622225078 	 1.50218272469 	 -5.2315939038 	 2.5969782688 	 False 	 0 	 11 	5 	21 	17 	15 	7 	14 	22 	19 	8 	2 	4 	6 	11 	12 	18 	10 	23 	9 	3 	24 	20 	16 	1 	13 	0
IvT 	 dot-jump 	 False 	 69 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 5 	 -5.02640136157 	 2.90199417916 	 4.10403952609 	 4.10403952609 	 -4.47884657952 	 2.97335193094 	 False 	 10 	 16 	17 	8 	12 	20 	11 	4 	24 	3 	6 	16 	5 	13 	15 	14 	23 	21 	22 	2 	1 	7 	19 	10 	18 	9 	0
IvT 	 dot-jump 	 False 	 70 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 10 	 -4.10403952609 	 -4.10403952609 	 -1.50218272469 	 -5.60622225078 	 -3.98956081873 	 -4.36593448087 	 False 	 16 	 14 	19 	7 	15 	21 	11 	20 	17 	6 	22 	18 	13 	8 	5 	14 	12 	1 	10 	23 	16 	4 	3 	9 	2 	24 	0
IvT 	 dot-jump 	 False 	 71 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 5.02640136157 	 -2.90199417916 	 4.66703341059 	 4.21538501602 	 False 	 0 	 10 	22 	3 	5 	14 	1 	11 	8 	7 	10 	13 	17 	23 	21 	15 	9 	4 	24 	19 	20 	18 	12 	2 	16 	6 	0
IvT 	 dot-jump 	 False 	 72 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 1.50218272469 	 5.60622225078 	 3.61318715658 	 3.76373662144 	 False 	 9 	 12 	16 	6 	7 	19 	3 	20 	9 	23 	18 	22 	4 	13 	24 	14 	15 	11 	1 	17 	8 	2 	21 	12 	10 	5 	0
IvT 	 dot-jump 	 False 	 73 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 8 	 -5.60622225078 	 -1.50218272469 	 -5.80398835832 	 0.0 	 -5.00576970652 	 -1.73131884586 	 False 	 1 	 14 	10 	8 	17 	14 	24 	11 	6 	20 	12 	16 	18 	1 	5 	2 	7 	22 	21 	3 	13 	4 	15 	19 	9 	23 	0
IvT 	 dot-jump 	 False 	 74 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 5 	 -5.02640136157 	 2.90199417916 	 -5.80398835832 	 0.0 	 -5.53269283352 	 2.67225300122 	 False 	 3 	 9 	20 	4 	12 	5 	17 	22 	6 	10 	23 	7 	11 	18 	8 	3 	21 	2 	15 	1 	14 	19 	9 	24 	13 	16 	0
IvT 	 dot-jump 	 False 	 75 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 5 	 -5.02640136157 	 2.90199417916 	 1.50218272469 	 -5.60622225078 	 -4.74230814302 	 2.52170353637 	 False 	 18 	 16 	8 	3 	20 	1 	9 	16 	19 	12 	24 	17 	10 	23 	2 	22 	13 	6 	14 	4 	5 	7 	15 	18 	11 	21 	0
IvT 	 dot-jump 	 False 	 76 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 4 	 -4.10403952609 	 4.10403952609 	 -2.90199417916 	 5.02640136157 	 -4.06483555116 	 4.10247291737 	 False 	 0 	 11 	4 	17 	20 	16 	9 	5 	15 	10 	12 	18 	11 	3 	22 	14 	8 	23 	2 	6 	19 	21 	13 	24 	1 	7 	0
IvT 	 dot-jump 	 False 	 77 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 5.02640136157 	 -2.90199417916 	 3.87664872009 	 4.25302238223 	 False 	 4 	 13 	1 	24 	15 	20 	22 	14 	8 	9 	4 	19 	11 	23 	6 	17 	18 	16 	7 	5 	2 	13 	12 	21 	3 	10 	0
IvT 	 dot-jump 	 False 	 78 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 4 	 -4.10403952609 	 4.10403952609 	 -1.50218272469 	 5.60622225078 	 -4.40357184709 	 4.14011028359 	 False 	 14 	 15 	12 	11 	13 	6 	21 	5 	10 	1 	9 	8 	23 	24 	18 	20 	4 	2 	19 	15 	3 	14 	22 	17 	7 	16 	0
IvT 	 dot-jump 	 False 	 79 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 21 	 5.02640136157 	 2.90199417916 	 -4.10403952609 	 4.10403952609 	 4.85522024166 	 2.55934090258 	 False 	 2 	 8 	11 	15 	21 	1 	7 	18 	16 	12 	4 	22 	9 	5 	20 	8 	23 	10 	13 	24 	14 	17 	3 	6 	19 	2 	0
IvT 	 dot-jump 	 False 	 80 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 -2.90199417916 	 -5.02640136157 	 4.59175867816 	 3.9142860863 	 False 	 0 	 10 	22 	7 	8 	3 	2 	4 	5 	6 	10 	23 	11 	16 	21 	17 	19 	20 	1 	24 	13 	14 	15 	18 	9 	12 	0
IvT 	 dot-jump 	 False 	 81 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 1.50218272469 	 5.60622225078 	 3.72609925523 	 3.9142860863 	 False 	 1 	 13 	6 	22 	13 	1 	20 	19 	3 	14 	15 	10 	11 	8 	12 	24 	5 	9 	18 	16 	17 	7 	23 	21 	4 	2 	0
IvT 	 dot-jump 	 False 	 82 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 20 	 5.60622225078 	 1.50218272469 	 -1.50218272469 	 5.60622225078 	 5.60796756595 	 1.12912098643 	 False 	 4 	 16 	4 	13 	15 	24 	20 	21 	17 	16 	8 	7 	14 	3 	22 	12 	5 	11 	2 	19 	10 	23 	9 	1 	6 	18 	0
