subject 	task 	staircase 	trialNum 	stimulus 	monitorWidth 	monitorHeight 	stimHeight  	ISI 	SOA 	responseSpatialPos 	responseX 	responseY 	correctX 	correctY 	clickX 	clickY 	accuracy 	responsePosInStream 	correctPosInStream 	position0 	position1 	position2 	position3 	position4 	position5 	position6 	position7 	position8 	position9 	position10 	position11 	position12 	position13 	position14 	position15 	position16 	position17 	position18 	position19 	position20 	position21 	position22 	position23 	longFrames
KR 	 dot-jump 	 False 	 231 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 14 	 1.50218272469 	 -5.60622225078 	 5.60622225078 	 1.50218272469 	 1.39258254993 	 -5.49505546731 	 False 	 8 	 9 	22 	19 	15 	7 	12 	10 	17 	11 	14 	20 	23 	13 	3 	1 	21 	24 	5 	4 	16 	8 	6 	18 	9 	2 	0
KR 	 dot-jump 	 False 	 232 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 14 	 1.50218272469 	 -5.60622225078 	 -4.10403952609 	 4.10403952609 	 1.58076938101 	 -5.45741810109 	 False 	 17 	 14 	1 	2 	13 	6 	18 	9 	16 	5 	3 	15 	23 	11 	12 	22 	4 	20 	19 	14 	17 	24 	8 	21 	10 	7 	0
KR 	 dot-jump 	 False 	 233 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 1 	 0.0 	 5.80398835832 	 1.50218272469 	 5.60622225078 	 -0.150549464858 	 5.98434122809 	 False 	 8 	 10 	17 	22 	19 	10 	11 	21 	18 	12 	1 	4 	24 	3 	14 	7 	16 	23 	20 	2 	13 	8 	15 	6 	9 	5 	0
KR 	 dot-jump 	 False 	 234 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 12 	 -1.50218272469 	 -5.60622225078 	 -5.60622225078 	 1.50218272469 	 -1.053846254 	 -5.53269283352 	 False 	 13 	 15 	21 	5 	3 	19 	20 	4 	15 	13 	22 	18 	14 	10 	9 	12 	16 	6 	11 	23 	7 	24 	17 	1 	2 	8 	0
KR 	 dot-jump 	 False 	 235 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 6 	 -5.60622225078 	 1.50218272469 	 -5.60622225078 	 -1.50218272469 	 -5.53269283352 	 1.46785728236 	 False 	 12 	 13 	1 	14 	16 	20 	2 	24 	23 	5 	12 	11 	9 	19 	6 	8 	17 	7 	3 	18 	22 	15 	21 	10 	13 	4 	0
KR 	 dot-jump 	 False 	 236 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 15 	 2.90199417916 	 -5.02640136157 	 4.10403952609 	 -4.10403952609 	 3.1239013958 	 -4.81758287545 	 False 	 6 	 16 	13 	24 	4 	6 	23 	11 	15 	10 	21 	17 	8 	19 	7 	14 	3 	22 	16 	20 	12 	2 	18 	5 	9 	1 	0
KR 	 dot-jump 	 False 	 237 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 19 	 5.80398835832 	 0.0 	 5.80398835832 	 0.0 	 5.83379176324 	 -0.0376373662144 	 True 	 10 	 10 	6 	12 	13 	3 	18 	9 	21 	14 	15 	20 	19 	4 	17 	7 	2 	24 	11 	8 	10 	5 	22 	1 	16 	23 	0
KR 	 dot-jump 	 False 	 238 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 5 	 -5.02640136157 	 2.90199417916 	 -5.60622225078 	 -1.50218272469 	 -5.26923127002 	 2.44642880394 	 False 	 14 	 12 	23 	16 	10 	17 	19 	24 	6 	13 	4 	15 	18 	3 	8 	1 	5 	14 	9 	2 	21 	11 	7 	22 	20 	12 	0
KR 	 dot-jump 	 False 	 239 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 15 	 2.90199417916 	 -5.02640136157 	 5.60622225078 	 1.50218272469 	 3.1239013958 	 -4.9681323403 	 False 	 9 	 11 	10 	3 	11 	14 	8 	6 	13 	16 	21 	15 	2 	20 	18 	17 	1 	24 	7 	23 	5 	4 	22 	12 	9 	19 	0
KR 	 dot-jump 	 False 	 240 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 21 	 5.02640136157 	 2.90199417916 	 5.80398835832 	 0.0 	 4.59175867816 	 2.25824197287 	 False 	 13 	 8 	17 	12 	8 	20 	2 	22 	16 	4 	19 	10 	9 	15 	3 	21 	5 	1 	11 	18 	23 	24 	7 	14 	6 	13 	0
KR 	 dot-jump 	 False 	 241 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 11 	 -2.90199417916 	 -5.02640136157 	 -5.02640136157 	 2.90199417916 	 -2.5969782688 	 -4.7046707768 	 False 	 12 	 14 	1 	3 	17 	19 	7 	12 	2 	22 	13 	18 	10 	15 	11 	9 	5 	16 	4 	24 	23 	8 	20 	6 	14 	21 	0
KR 	 dot-jump 	 False 	 242 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 16 	 4.10403952609 	 -4.10403952609 	 -5.60622225078 	 1.50218272469 	 3.80137398766 	 -4.36593448087 	 False 	 7 	 9 	20 	5 	14 	13 	2 	4 	1 	16 	15 	6 	3 	8 	23 	17 	22 	11 	10 	7 	21 	9 	18 	24 	12 	19 	0
KR 	 dot-jump 	 False 	 243 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 8 	 -5.60622225078 	 -1.50218272469 	 -5.60622225078 	 1.50218272469 	 -5.57033019973 	 -1.73131884586 	 False 	 12 	 14 	10 	4 	22 	5 	23 	9 	2 	17 	12 	21 	13 	24 	8 	18 	6 	11 	7 	15 	14 	1 	20 	16 	3 	19 	0
KR 	 dot-jump 	 False 	 244 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 16 	 4.10403952609 	 -4.10403952609 	 0.0 	 5.80398835832 	 4.1777476498 	 -4.06483555116 	 False 	 6 	 15 	22 	20 	23 	18 	2 	7 	16 	24 	13 	11 	10 	14 	5 	17 	15 	1 	8 	9 	4 	12 	21 	3 	19 	6 	0
KR 	 dot-jump 	 False 	 245 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 14 	 1.50218272469 	 -5.60622225078 	 4.10403952609 	 -4.10403952609 	 1.76895621208 	 -5.68324229838 	 False 	 14 	 13 	2 	11 	22 	18 	1 	12 	7 	9 	20 	8 	23 	6 	3 	16 	14 	21 	17 	4 	24 	13 	15 	19 	10 	5 	0
KR 	 dot-jump 	 False 	 246 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 3 	 -2.90199417916 	 5.02640136157 	 1.50218272469 	 5.60622225078 	 -2.89807719851 	 5.15631917138 	 False 	 12 	 10 	9 	1 	11 	23 	17 	6 	22 	7 	4 	14 	24 	15 	3 	5 	19 	20 	12 	2 	18 	16 	13 	21 	10 	8 	0
KR 	 dot-jump 	 False 	 247 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 1 	 0.0 	 5.80398835832 	 -1.50218272469 	 5.60622225078 	 -0.0752747324288 	 5.53269283352 	 False 	 0 	 11 	1 	10 	22 	15 	17 	9 	8 	16 	11 	6 	20 	2 	24 	19 	18 	3 	4 	12 	23 	21 	14 	5 	7 	13 	0
KR 	 dot-jump 	 False 	 248 	 circle 	 1024 	 768 	 1.16079767166 	 44.445 	 66.667 	 4 	 -4.10403952609 	 4.10403952609 	 -2.90199417916 	 5.02640136157 	 -3.98956081873 	 4.25302238223 	 False 	 3 	 9 	19 	16 	21 	4 	15 	5 	2 	6 	23 	3 	18 	20 	7 	22 	12 	13 	1 	10 	11 	9 	17 	8 	24 	14 	0
